unit_id,region_name,first_year,last_year,year_count,source_data_status,constrains_common_year,selected_common_year,contains_selected_year
EEZ_008,Albania,1950,2019,70,available,True,2019,True
EEZ_012,Algeria,1950,2019,70,available,True,2019,True
EEZ_016,American Samoa,1950,2019,70,available,True,2019,True
EEZ_024,Angola,1950,2019,70,available,True,2019,True
EEZ_028,Antigua & Barbuda,1950,2019,70,available,True,2019,True
EEZ_032,Argentina,1950,2019,70,available,True,2019,True
EEZ_036,Australia,1950,2019,70,available,True,2019,True
EEZ_037,Macquarie Isl. (Australia),1952,2019,47,available,True,2019,True
EEZ_038,Lord Howe Isl. (Australia),1950,2019,70,available,True,2019,True
EEZ_044,Bahamas,1950,2019,70,available,True,2019,True
EEZ_048,Bahrain,1950,2019,70,available,True,2019,True
EEZ_050,Bangladesh,1950,2019,70,available,True,2019,True
EEZ_052,Barbados,1950,2019,70,available,True,2019,True
EEZ_056,Belgium,1950,2019,70,available,True,2019,True
EEZ_060,Bermuda (UK),1950,2019,70,available,True,2019,True
EEZ_070,Bosnia & Herzegovina,1950,2019,70,available,True,2019,True
EEZ_074,Bouvet Isl. (Norway),2004,2019,16,available,True,2019,True
EEZ_076,Brazil (mainland),1950,2019,70,available,True,2019,True
EEZ_077,Trindade & Martim Vaz Isl. (Brazil),1951,2019,64,available,True,2019,True
EEZ_084,Belize,1950,2019,70,available,True,2019,True
EEZ_086,Chagos Archipelago (UK),1950,2019,70,available,True,2019,True
EEZ_090,Solomon Isl.,1950,2019,70,available,True,2019,True
EEZ_092,British Virgin Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_096,Brunei Darussalam,1950,2019,70,available,True,2019,True
EEZ_100,Bulgaria,1950,2019,70,available,True,2019,True
EEZ_104,Myanmar,1950,2019,70,available,True,2019,True
EEZ_111,Eritrea,1950,2019,70,available,True,2019,True
EEZ_116,Cambodia,1950,2019,70,available,True,2019,True
EEZ_120,Cameroon,1950,2019,70,available,True,2019,True
EEZ_132,Cape Verde,1950,2019,70,available,True,2019,True
EEZ_136,Cayman Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_144,Sri Lanka,1950,2019,70,available,True,2019,True
EEZ_152,Chile (mainland),1950,2019,70,available,True,2019,True
EEZ_153,Easter Isl. (Chile),1950,2019,70,available,True,2019,True
EEZ_154,Desventuradas Isl. (Chile),1950,2019,70,available,True,2019,True
EEZ_155,Juan Fernandez Islands (Chile),1950,2019,70,available,True,2019,True
EEZ_156,China,1950,2019,70,available,True,2019,True
EEZ_157,Taiwan,1950,2019,70,available,True,2019,True
EEZ_162,Christmas Isl. (Australia),1950,2019,70,available,True,2019,True
EEZ_166,Cocos (Keeling) Isl. (Australia),1950,2019,70,available,True,2019,True
EEZ_174,Comoros Isl.,1950,2019,70,available,True,2019,True
EEZ_175,Mayotte (France),1950,2019,70,available,True,2019,True
EEZ_178,"Congo, R. of",1950,2019,70,available,True,2019,True
EEZ_180,Congo (ex-Zaire),1950,2019,70,available,True,2019,True
EEZ_184,Cook Islands,1950,2019,70,available,True,2019,True
EEZ_191,Croatia,1950,2019,70,available,True,2019,True
EEZ_192,Cuba,1950,2019,70,available,True,2019,True
EEZ_197,Cyprus (North),1950,2019,70,available,True,2019,True
EEZ_198,Cyprus (South),1950,2019,70,available,True,2019,True
EEZ_204,Benin,1950,2019,70,available,True,2019,True
EEZ_212,Dominica,1950,2019,70,available,True,2019,True
EEZ_214,Dominican Republic,1950,2019,70,available,True,2019,True
EEZ_218,Ecuador (mainland),1950,2019,70,available,True,2019,True
EEZ_219,Galapagos Isl. (Ecuador),1950,2019,70,available,True,2019,True
EEZ_222,El Salvador,1950,2019,70,available,True,2019,True
EEZ_226,Equatorial Guinea,1950,2019,70,available,True,2019,True
EEZ_233,Estonia,1950,2019,70,available,True,2019,True
EEZ_234,Faeroe Isl. (Denmark),1950,2019,70,available,True,2019,True
EEZ_238,Falkland Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_239,South Georgia & Sandwich Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_242,Fiji,1950,2019,70,available,True,2019,True
EEZ_246,Finland,1950,2019,70,available,True,2019,True
EEZ_251,Mozambique Channel Isl. (France),1950,2019,70,available,True,2019,True
EEZ_252,Tromelin Isl. (France),1950,2019,63,available,True,2019,True
EEZ_254,French Guiana,1950,2019,70,available,True,2019,True
EEZ_258,French Polynesia,1950,2019,70,available,True,2019,True
EEZ_262,Djibouti,1950,2019,70,available,True,2019,True
EEZ_266,Gabon,1950,2019,70,available,True,2019,True
EEZ_268,Georgia,1950,2019,70,available,True,2019,True
EEZ_270,Gambia,1950,2019,70,available,True,2019,True
EEZ_274,Gaza Strip,1950,2019,70,available,True,2019,True
EEZ_277,Germany (North Sea),1950,2019,70,available,True,2019,True
EEZ_278,Germany (Baltic Sea),1950,2019,70,available,True,2019,True
EEZ_288,Ghana,1950,2019,70,available,True,2019,True
EEZ_300,Greece (without Crete),1950,2019,70,available,True,2019,True
EEZ_304,Greenland (Denmark),1950,2019,70,available,True,2019,True
EEZ_308,Grenada,1950,2019,70,available,True,2019,True
EEZ_312,Guadeloupe  (France),1950,2019,70,available,True,2019,True
EEZ_316,Guam (USA),1950,2019,70,available,True,2019,True
EEZ_324,Guinea,1950,2019,70,available,True,2019,True
EEZ_328,Guyana,1950,2019,70,available,True,2019,True
EEZ_332,Haiti,1950,2019,70,available,True,2019,True
