unit_id,area_name,area_type,year,raw_rows_selected,taxon_rows_standardized,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,source_data_status
EEZ_410,Korea (South),eez,2019,1343,118,1692138.9147849001,1692138.9147849001,0.0,True,available
EEZ_414,Kuwait,eez,2019,132,22,23587.724537113,23587.724537113,0.0,True,available
EEZ_422,Lebanon,eez,2019,270,107,6487.446754114901,6487.4467541149,-9.094947017729282e-13,True,available
EEZ_428,Latvia,eez,2019,1956,45,100360.13516485729,100360.1351648573,1.4551915228366852e-11,True,available
EEZ_430,Liberia,eez,2019,1653,239,179043.0926542068,179043.0926542068,0.0,True,available
EEZ_434,Libya,eez,2019,1022,147,46065.469076652495,46065.4690766525,7.275957614183426e-12,True,available
EEZ_440,Lithuania,eez,2019,1656,43,34707.5616911521,34707.56169115209,-7.275957614183426e-12,True,available
EEZ_450,Madagascar,eez,2019,1406,96,159996.68620932242,159996.68620932242,0.0,True,available
EEZ_459,Malaysia (Peninsula West),eez,2019,4003,153,1109839.2864373182,1109839.2864373182,0.0,True,available
EEZ_460,Malaysia (Peninsula East),eez,2019,4068,157,493489.53456538235,493489.5345653823,-5.820766091346741e-11,True,available
EEZ_461,Sabah (Malaysia),eez,2019,2971,114,490558.95726488077,490558.9572648807,-5.820766091346741e-11,True,available
EEZ_462,Maldives,eez,2019,175,72,51028.424936237396,51028.424936237396,0.0,True,available
EEZ_463,Sarawak (Malaysia),eez,2019,3878,142,172418.003123827,172418.003123827,0.0,True,available
EEZ_470,Malta,eez,2019,1333,213,7732.9980884831,7732.9980884831,0.0,True,available
EEZ_474,Martinique (France),eez,2019,143,65,2440.9497922336996,2440.9497922337,4.547473508864641e-13,True,available
EEZ_478,Mauritania,eez,2019,2591,229,2210253.937882072,2210253.937882072,0.0,True,available
EEZ_480,Mauritius,eez,2019,491,70,15255.362035387401,15255.3620353874,-1.8189894035458565e-12,True,available
EEZ_488,Hawaii Northwest Isl. (USA),eez,2019,37,16,456.12053987310003,456.12053987310003,0.0,True,available
EEZ_500,Montserrat (GBR),eez,2019,263,87,49.41265041300001,49.412650413,-7.105427357601002e-15,True,available
EEZ_508,Mozambique,eez,2019,417,90,296238.55412247276,296238.55412247276,0.0,True,available
EEZ_512,Oman,eez,2019,461,66,304318.44171610783,304318.4417161079,5.820766091346741e-11,True,available
EEZ_516,Namibia,eez,2019,288,57,687243.3923951921,687243.392395192,-1.1641532182693481e-10,True,available
EEZ_520,Nauru,eez,2019,616,28,81729.3484479404,81729.3484479404,0.0,True,available
EEZ_528,Netherlands,eez,2019,3312,182,101104.75663139789,101104.7566313979,1.4551915228366852e-11,True,available
EEZ_540,New Caledonia (France),eez,2019,184,55,11907.6644335737,11907.664433573698,-1.8189894035458565e-12,True,available
EEZ_548,Vanuatu,eez,2019,640,68,19630.861294589602,19630.8612945896,-3.637978807091713e-12,True,available
EEZ_554,New Zealand,eez,2019,4517,197,536634.0092869515,536634.0092869516,1.1641532182693481e-10,True,available
EEZ_555,Kermadec Isl. (New Zealand),eez,2019,46,22,66.11770604899999,66.11770604900002,2.842170943040401e-14,True,available
EEZ_566,Nigeria,eez,2019,249,77,532269.8890131604,532269.8890131603,-1.1641532182693481e-10,True,available
EEZ_570,Niue (New Zealand),eez,2019,431,70,949.5273417067999,949.5273417068,1.1368683772161603e-13,True,available
EEZ_574,Norfolk Isl. (Australia),eez,2019,23,17,17.497812817599996,17.4978128176,3.552713678800501e-15,True,available
EEZ_578,Norway,eez,2019,5009,222,1710313.5041625754,1710313.5041625751,-2.3283064365386963e-10,True,available
EEZ_579,Jan Mayen Isl. (Norway),eez,2019,74,6,534.1534584534,534.1534584534,0.0,True,available
EEZ_580,Northern Marianas (USA),eez,2019,180,62,498.5314401099,498.53144010989985,-1.7053025658242404e-13,True,available
EEZ_583,Micronesia,eez,2019,1005,164,227502.489463831,227502.489463831,0.0,True,available
EEZ_584,Marshall Isl.,eez,2019,814,69,56340.9448327468,56340.94483274678,-1.4551915228366852e-11,True,available
EEZ_585,Palau,eez,2019,684,56,10527.1220736951,10527.1220736951,0.0,True,available
EEZ_586,Pakistan,eez,2019,2232,126,930340.293158082,930340.2931580818,-1.1641532182693481e-10,True,available
EEZ_598,Papua New Guinea,eez,2019,794,55,536763.5433324722,536763.5433324722,0.0,True,available
EEZ_604,Peru,eez,2019,1372,113,6008753.148833273,6008753.148833272,-9.313225746154785e-10,True,available
EEZ_608,Philippines,eez,2019,1547,172,2152202.0418273807,2152202.0418273807,0.0,True,available
EEZ_612,Pitcairn (GBR),eez,2019,7,3,3.000000000000001,3.0000000000000004,-4.440892098500626e-16,True,available
EEZ_616,Poland,eez,2019,3143,56,155232.7053557617,155232.7053557617,0.0,True,available
EEZ_620,Portugal (mainland),eez,2019,1226,254,208342.58846173983,208342.5884617398,-2.9103830456733704e-11,True,available
EEZ_621,Madeira Isl. (Portugal),eez,2019,403,98,14928.145180905802,14928.1451809058,-1.8189894035458565e-12,True,available
EEZ_622,Azores Isl. (Portugal),eez,2019,559,132,21195.035296286802,21195.0352962868,-3.637978807091713e-12,True,available
EEZ_624,Guinea-Bissau,eez,2019,1299,229,1133937.8605595874,1133937.8605595871,-2.3283064365386963e-10,True,available
EEZ_626,Timor Leste,eez,2019,123,28,6740.440535282099,6740.4405352820995,9.094947017729282e-13,True,available
EEZ_630,Puerto Rico (USA),eez,2019,178,36,1866.1053035135,1866.1053035134996,-4.547473508864641e-13,True,available
EEZ_634,Qatar,eez,2019,264,47,18300.125898307102,18300.125898307102,0.0,True,available
EEZ_638,Réunion [La] (France),eez,2019,135,26,537.9865677244001,537.9865677244001,0.0,True,available
EEZ_642,Romania,eez,2019,98,16,8116.5109813193,8116.510981319299,-9.094947017729282e-13,True,available
EEZ_645,Russia (Barents Sea),eez,2019,891,86,257638.50382026169,257638.5038202617,2.9103830456733704e-11,True,available
EEZ_647,Russia (Black Sea),eez,2019,435,40,151771.4553513236,151771.4553513236,0.0,True,available
EEZ_648,Russia (Baltic Sea),eez,2019,2119,47,111294.2692790642,111294.26927906422,1.4551915228366852e-11,True,available
EEZ_649,Russia (Far East),eez,2019,634,86,7341976.862507814,7341976.862507814,0.0,True,available
EEZ_654,Saint Helena (GBR),eez,2019,23,20,515.4002517916999,515.4002517917,1.1368683772161603e-13,True,available
EEZ_659,Saint Kitts & Nevis,eez,2019,93,19,1724.2738873690002,1724.273887369,-2.2737367544323206e-13,True,available
EEZ_660,Anguilla (GBR),eez,2019,113,24,1027.0367155169997,1027.0367155170002,4.547473508864641e-13,True,available
EEZ_662,Saint Lucia,eez,2019,208,72,1454.7830351649,1454.7830351649,0.0,True,available
EEZ_666,Saint Pierre & Miquelon (France),eez,2019,150,21,1766.0866185219998,1766.0866185219998,0.0,True,available
EEZ_670,Saint Vincent & the Grenadines,eez,2019,681,93,1694.7906050879,1694.7906050878998,-2.2737367544323206e-13,True,available
EEZ_678,São Tomé and Príncipe,eez,2019,602,115,11530.348500865499,11530.3485008655,1.8189894035458565e-12,True,available
EEZ_683,Saudi Arabia (Red Sea),eez,2019,3049,122,39296.800791863905,39296.80079186389,-1.4551915228366852e-11,True,available
EEZ_684,Saudi Arabia (Persian Gulf),eez,2019,2329,101,52003.6423239321,52003.6423239321,0.0,True,available
EEZ_686,Senegal,eez,2019,1271,256,542145.3642563997,542145.3642563997,0.0,True,available
EEZ_690,Seychelles,eez,2019,650,118,18710.237207483602,18710.2372074836,-3.637978807091713e-12,True,available
EEZ_694,Sierra Leone,eez,2019,1379,214,442517.00676733244,442517.00676733244,0.0,True,available
EEZ_702,Singapore,eez,2019,445,28,3539.5904974153,3539.5904974153,0.0,True,available
EEZ_704,Viet Nam,eez,2019,1244,69,5148305.1369901,5148305.136990098,-1.862645149230957e-09,True,available
EEZ_705,Slovenia,eez,2019,501,80,203.5210142398,203.52101423979997,-2.842170943040401e-14,True,available
EEZ_706,Somalia,eez,2019,788,121,139703.8091832829,139703.80918328292,2.9103830456733704e-11,True,available
EEZ_711,Prince Edward Isl. (South Africa),eez,2019,67,18,974.4787150097001,974.4787150097,-1.1368683772161603e-13,True,available
EEZ_723,Canary Isl. (Spain),eez,2019,3205,174,92826.4650597252,92826.46505972519,-1.4551915228366852e-11,True,available
EEZ_736,Sudan,eez,2019,26,9,1903.8009104609998,1903.800910461,2.2737367544323206e-13,True,available
EEZ_740,Suriname,eez,2019,390,80,58397.2558737715,58397.2558737715,0.0,True,available
EEZ_744,Svalbard Isl. (Norway),eez,2019,728,62,219891.4498277699,219891.44982776986,-2.9103830456733704e-11,True,available
EEZ_760,Syria,eez,2019,350,51,4003.3374784953003,4003.3374784953,-4.547473508864641e-13,True,available
EEZ_768,Togo,eez,2019,645,129,51334.51177780791,51334.51177780791,0.0,True,available
EEZ_772,Tokelau (New Zealand),eez,2019,484,29,9835.3636877018,9835.3636877018,0.0,True,available
EEZ_776,Tonga,eez,2019,550,86,14542.412200733399,14542.4122007334,1.8189894035458565e-12,True,available
EEZ_780,Trinidad & Tobago,eez,2019,573,97,19523.2185592658,19523.218559265802,3.637978807091713e-12,True,available
EEZ_784,United Arab Emirates,eez,2019,632,42,49925.3333488044,49925.33334880439,-7.275957614183426e-12,True,available
EEZ_788,Tunisia,eez,2019,2505,167,133288.5662711512,133288.5662711512,0.0,True,available
EEZ_793,Türkiye (Mediterranean Sea),eez,2019,2407,92,87055.4164278193,87055.4164278193,0.0,True,available
EEZ_794,Türkiye (Black Sea),eez,2019,1263,49,557210.7803783924,557210.7803783924,0.0,True,available
EEZ_796,Turks & Caicos Isl. (GBR),eez,2019,78,21,7446.6790168085,7446.679016808501,9.094947017729282e-13,True,available
