unit_id,sau_region_id,catch_csv,data_version,csv_bytes,empty_catch_csv,source_url
EEZ_566,566,SAU EEZ 566 v50-1.csv,50.1,3850190,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=566
EEZ_570,570,SAU EEZ 570 v50-1.csv,50.1,4493785,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=570
EEZ_574,574,SAU EEZ 574 v50-1.csv,50.1,1429288,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=574
EEZ_578,578,SAU EEZ 578 v50-1.csv,50.1,57043310,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=578
EEZ_579,579,SAU EEZ 579 v50-1.csv,50.1,2264374,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=579
EEZ_580,580,SAU EEZ 580 v50-1.csv,50.1,4602351,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=580
EEZ_583,583,SAU EEZ 583 v50-1.csv,50.1,13209266,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=583
EEZ_584,584,SAU EEZ 584 v50-1.csv,50.1,8388222,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=584
EEZ_585,585,SAU EEZ 585 v50-1.csv,50.1,6702403,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=585
EEZ_586,586,SAU EEZ 586 v50-1.csv,50.1,33519447,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=586
EEZ_598,598,SAU EEZ 598 v50-1.csv,50.1,7646890,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=598
EEZ_604,604,SAU EEZ 604 v50-1.csv,50.1,15913934,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=604
EEZ_608,608,SAU EEZ 608 v50-1.csv,50.1,25202659,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=608
EEZ_612,612,SAU EEZ 612 v50-1.csv,50.1,1752334,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=612
EEZ_616,616,SAU EEZ 616 v50-1.csv,50.1,29273504,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=616
EEZ_620,620,SAU EEZ 620 v50-1.csv,50.1,16230446,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=620
EEZ_621,621,SAU EEZ 621 v50-1.csv,50.1,1947332,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=621
