unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_type_ppr,rank_type_ppr,accumulated_fraction_type
EEZ_304,Greenland (Denmark),EEZ,2019,262286.0841378048,262286.0841378048,0.0,1.0,54,54,248197559.24175024,248197559.24175033,248197559.2417503,246954669.5936757,247859388.53952336,0.0037355423266439394,58,0.8726583433587245
EEZ_238,Falkland Isl. (UK),EEZ,2019,278214.9808580502,278214.9808580502,0.0,1.0,33,33,240475941.02839914,240475941.02839917,240475941.02839917,218731675.69853857,218030091.2427321,0.0036193267129437955,59,0.8762776700716683
EEZ_024,Angola,EEZ,2019,619737.0070171056,619737.0070171056,0.0,1.0,120,120,238291043.5932122,238291043.5932122,238291043.59321222,193119589.75474402,214098235.0059215,0.0035864425182988075,60,0.8798641125899671
EEZ_919,France (Atlantic Coast),EEZ,2019,270826.2519812341,270826.2519812341,0.0,1.0,348,348,220204619.0813137,220204619.0813138,220204619.0813137,169005621.09511688,189192339.3498306,0.0033142295098056835,61,0.8831783420997728
EEZ_744,Svalbard Isl. (Norway),EEZ,2019,219891.4498277699,219891.4498277699,0.0,1.0,62,62,218315950.64442787,218315950.64442784,218315950.6444278,217216675.2255146,207323146.5444756,0.0032858037633618532,62,0.8864641458631346
EEZ_963,Spain (Northwest),EEZ,2019,194491.9853032628,194491.9853032628,0.0,1.0,312,312,218230163.06143558,218230163.06143558,218230163.06143552,190512956.20310688,207412846.6597897,0.003284512601803508,63,0.8897486584649381
EEZ_520,Nauru,EEZ,2019,81729.3484479404,81729.3484479404,0.0,1.0,28,28,211818272.35681504,211818272.356815,211818272.35681507,211133892.17355394,210905086.08212376,0.003188009279232172,64,0.8929366677441704
EEZ_943,Kiribati (Phoenix Islands),EEZ,2019,77760.627954773,77760.627954773,0.0,1.0,30,30,197891389.7807206,197891389.7807206,197891389.78072062,196618738.02517822,196173329.33670193,0.0029784002101497166,65,0.8959150679543201
EEZ_694,Sierra Leone,EEZ,2019,442517.00676733244,442517.00676733244,0.0,1.0,214,214,188913523.83892518,188913523.83892512,188913523.8389252,146072990.1542673,143010668.57291692,0.0028432772124418874,66,0.8987583451667619
EEZ_512,Oman,EEZ,2019,304318.44171610783,304318.44171610783,0.0,1.0,66,66,187008419.87587023,187008419.87587017,187008419.87587017,157417671.79835263,173471533.90377143,0.0028146041001341346,67,0.901572949266896
EEZ_219,Galapagos Isl. (Ecuador),EEZ,2019,68947.83335948801,68947.83335948801,0.0,1.0,47,47,178171427.7951421,178171427.7951421,178171427.7951421,175820957.12708527,177166073.02531397,0.002681601349991762,68,0.9042545506168879
EEZ_862,Venezuela,EEZ,2019,306380.438267835,306380.438267835,0.0,1.0,153,153,172576491.72799766,172576491.72799766,172576491.72799766,109361956.20020832,152625911.82444447,0.002597393751184041,69,0.9068519443680718
EEZ_380,Italy (mainland),EEZ,2019,234477.5946714614,234477.5946714614,0.0,1.0,159,159,166295145.49936318,166295145.49936318,166295145.49936315,139251647.64297917,138802843.8086451,0.002502855211896817,70,0.9093547995799687
