taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Veneridae,Heterotrophic Benthos,1.000000,single,high,484.727,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Haliotidae,Heterotrophic Benthos,1.000000,single,high,478.297,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Spratelloides delicatulus,Clupeids,1.000000,single,medium,423.032,106.362581,88.561632,21.920534,63.185331,125.502905,125.502905,122.867344,135.671609,135.671609,135.671609,106.962478,52.045425,135.671609,135.671609,106.962478,106.962478,52.045425,52.045425,112.844145,138.447975
Sphyrna zygaena,Sharks,1.000000,single,high,380.823,106.362581,2569.289220,222.822151,1308.685037,1955.186859,2007.418175,1423.259486,3930.042293,3930.042293,3930.042293,1585.345045,411.268522,3930.042293,3930.042293,1585.345045,1585.345045,411.268522,411.268522,1727.014600,4280.685883
Plectorhinchus sordidus,Med Benthic Carnivores,1.000000,single,medium,363.436,106.362581,153.506319,32.014124,100.687820,159.061371,159.061371,156.039205,198.208223,198.208223,198.208223,116.373231,56.490526,198.208223,198.208223,116.373231,116.373231,56.490526,56.490526,123.709202,211.870923
Holothuroidea,Heterotrophic Benthos,1.000000,single,high,354.538,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Hemiramphus archipelagicus,Small Benthopelagics,1.000000,single,low,351.947,106.362581,735.919846,94.203452,274.118485,1003.748472,1056.007849,1032.775676,1426.864607,1426.864607,1426.864607,914.129060,345.870401,1426.864607,1426.864607,914.129060,914.129060,345.870401,345.870401,967.877402,1512.932250
Scorpaenidae,Large Benthic Carnivores,1.000000,single,medium,351.896,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Chaetodontidae,Unresolved,,,unresolved,351.778,,,,,,,,,,,,,,,,,,,,
Beryx,Unresolved,,,unresolved,311.82,,,,,,,,,,,,,,,,,,,,
Scylla serrata,Crabs & Lobster,1.000000,single,high,287.211,106.362581,75.373862,19.617010,40.480080,77.811758,77.811758,75.944276,117.553732,117.553732,117.553732,38.109542,24.778770,117.553732,117.553732,38.109542,38.109542,24.778770,24.778770,40.041132,130.272812
Pomatomus saltatrix,Large Pelagics,1.000000,single,medium,281.6,106.362581,1182.417917,130.579526,655.098468,848.885192,883.261112,865.595889,1961.116323,1961.116323,1961.116323,1097.797369,300.803420,1961.116323,1961.116323,1097.797369,1097.797369,300.803420,300.803420,1217.954801,2161.079709
Gadiformes,Unresolved,,,unresolved,278.89,,,,,,,,,,,,,,,,,,,,
Triaenodon obesus,Sharks,1.000000,single,high,254.749,106.362581,2569.289220,222.822151,1308.685037,1955.186859,2007.418175,1423.259486,3930.042293,3930.042293,3930.042293,1585.345045,411.268522,3930.042293,3930.042293,1585.345045,1585.345045,411.268522,411.268522,1727.014600,4280.685883
Lethrinus rubrioperculatus,Med Benthic Carnivores,1.000000,single,medium,242.287,106.362581,153.506319,32.014124,100.687820,159.061371,159.061371,156.039205,198.208223,198.208223,198.208223,116.373231,56.490526,198.208223,198.208223,116.373231,116.373231,56.490526,56.490526,123.709202,211.870923
