layer,region_id,title,water_area_km2,common_area_km2,baseline_4km_tC_yr,npp_antoinemorel_tC_yr,npp_vgpm_tC_yr,npp_eppley_tC_yr,npp_cbpm_tC_yr,npp_cafe_tC_yr,ens_median_tC_yr,ens_min_tC_yr,ens_max_tC_yr,spread_pct,cv_pct,model_max,model_min,scaled_antoinemorel_tC_yr,scaled_vgpm_tC_yr,scaled_eppley_tC_yr,scaled_cbpm_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d,own_antoinemorel_tC_yr,own_vgpm_tC_yr,own_eppley_tC_yr,own_cbpm_tC_yr,own_cafe_tC_yr
highseas,58,"Indian Ocean, Antarctic",10660106.037001498,10152428.392579492,542531219.4161035,485107082.7267168,402031821.5238997,312262280.3051776,667563695.5581428,889059229.7045785,485107082.7267168,312262280.3051776,889059229.7045785,118.90095402386389,41.707053583446154,CAFE,Eppley-VGPM,542531219.4161035,449621995.1055893,349226061.09847033,746585977.993459,994300856.8615197,542531219.4161035,349226061.09847033,994300856.8615197,139.43453257881168,115.5561753518506,89.75367840768979,191.87811345391316,255.5426678826122,487858461.58020985,403129281.16654843,313330904.2821089,669866763.9864388,892502306.594975
highseas,61,"Pacific, Northwest",8981555.06770988,8847305.690861313,1000521735.5035448,997476044.8372822,1157072180.8456333,910950966.8501291,1234035090.3864677,1286768070.6121547,1157072180.8456333,910950966.8501291,1286768070.6121547,32.48000513566612,14.213074613224634,CAFE,Eppley-VGPM,1000521735.5035448,1160605181.9233367,913732462.0765243,1237803089.804683,1290697084.770031,1160605181.9233367,913732462.0765243,1290697084.770031,305.19831132479817,354.03003160100525,278.7241841258504,377.5784166956445,393.7131565716573,999658667.5915262,1160057468.2805505,913073694.548557,1237023257.845577,1287262010.2630472
highseas,67,"Pacific, Northeast",4942010.937251851,4698689.286056917,538347772.9125165,536130952.1914651,775865228.8621145,476740946.4563705,798802337.6627225,750103524.231196,750103524.231196,476740946.4563705,798802337.6627225,42.93559232859791,22.402620215792993,CbPM2,Eppley-VGPM,538347772.9125165,779073314.7020655,478712198.45060474,802105264.9921683,753205089.3034091,753205089.3034091,478712198.45060474,802105264.9921683,298.4464065269646,431.89856611827474,265.38595045218665,444.66689756729494,417.55787539396647,536130952.1914651,777655025.2582124,477850685.89966846,800237792.8864641,752039838.5750285
highseas,71,"Pacific, Western Central",5212263.10565113,5189741.954158017,547578016.1932508,544783398.8378152,253976692.7228432,442529324.4876352,374488539.71053624,730020382.5355922,442529324.4876352,253976692.7228432,730020382.5355922,107.57336598290229,38.38759639617582,CAFE,VGPM,547578016.1932508,255279536.52255064,444799401.24316883,376409582.41249704,733765224.3116226,444799401.24316883,255279536.52255064,733765224.3116226,287.8238708573014,134.182787072751,233.80026523131403,197.85247002960426,385.6896020590287,547579695.7887757,255400900.82944766,445037813.28718084,376698641.5159597,730020382.5355922
highseas,77,"Pacific, Eastern Central",32340598.272203,32340597.62430532,4356077734.723515,4356079610.435529,3160693031.066975,4008716792.260447,4374546970.608398,5603204050.339832,4356079610.435529,3160693031.066975,5603204050.339832,56.07131268725023,20.43660786223432,CAFE,VGPM,4356077734.723515,3160691670.0840683,4008715066.1215973,4374545086.9444065,5603201637.620577,4356077734.723515,3160691670.0840683,5603201637.620577,369.0240807154602,267.7572369015166,339.5973355419543,370.5885380304066,474.67388309073294,4356079610.435529,3160693031.066975,4008716792.260447,4374546970.608398,5603204050.339832
highseas,81,"Pacific, Southwest",21436905.26000656,21429946.458105177,1878090288.387376,1865547226.3829813,2408472542.8165007,1526630633.7159078,2456557901.675184,2863299224.811258,2408472542.8165007,1526630633.7159078,2863299224.811258,55.498602011556734,23.702566135211207,CAFE,Eppley-VGPM,1878090288.387376,2424665979.2587404,1536894979.9761918,2473074641.4512324,2882550701.9146147,2424665979.2587404,1536894979.9761918,2882550701.9146147,240.0277830446197,309.88243921164786,196.4215975648565,316.06926842750886,368.4020192066331,1870683332.0063732,2409728676.886774,1527444956.450915,2457607421.4119053,2863336841.280444
highseas,87,"Pacific, Southeast",24756205.46096901,24756206.709750406,2806374462.4723725,2800855206.4926357,2808945314.5543694,2430952127.444785,3145634654.3064623,4104787676.363722,2808945314.5543694,2430952127.444785,4104787676.363722,59.58946727250493,20.83996871172569,CAFE,Eppley-VGPM,2806374462.4723725,2814480512.5853744,2435742466.850675,3151833319.2126675,4112876410.7887654,2814480512.5853744,2435742466.850675,4112876410.7887654,310.57656108003573,311.4736434907061,269.559365347358,348.8078894917543,455.16485019773097,2802825411.6704507,2809111790.345525,2431049914.213006,3145634654.3064623,4104787676.363722
highseas,88,"Pacific, Antarctic",9249487.844864056,8233281.690820908,467587768.4362068,371002744.10193366,289419892.5835737,257565445.29263932,416569030.4429682,602321027.7065336,371002744.10193366,257565445.29263932,602321027.7065336,92.92534567323094,35.05672202935494,CAFE,Eppley-VGPM,467587768.4362068,364766039.7816841,324618762.8131762,525016556.9959907,759126312.958268,467587768.4362068,324618762.8131762,759126312.958268,138.50089872690756,108.0447944645299,96.15305067454017,155.51147805606465,224.85548957705055,373504376.5637871,290860742.94027746,259028945.0592684,419104897.89145035,605427815.3147128
lme,1,East Bering Sea,1276146.1175122068,20202.604775922286,215854568.4102977,204509953.77214155,257623216.7697792,180758440.05731,240408987.47934008,196045297.41329986,204509953.77214155,180758440.05731,257623216.7697792,37.58485848474128,14.83172405340406,VGPM,Eppley-VGPM,215854568.4102977,271914140.3272292,190785506.25736976,253745000.0704003,206920359.04112932,215854568.4102977,190785506.25736976,271914140.3272292,463.4127480316832,583.7656340828345,409.59260853487575,544.7587634949222,444.232118472864,211579871.2787646,263315806.36497843,184863442.76628163,244624236.65299708,197275955.30586034
lme,2,Gulf of Alaska,1443915.4799970586,512833.339979443,265855268.36676815,219993119.70081398,331249787.4592262,218207774.29332918,310307011.52510726,211747433.31034228,219993119.70081398,211747433.31034228,331249787.4592262,54.32095072400655,22.297299416986686,VGPM,CAFE,265855268.36676815,400305706.2019638,263697730.51704013,374996972.3475492,255890596.8752763,265855268.36676815,255890596.8752763,400305706.2019638,504.44129753813706,759.5513569806699,500.3475242640901,711.5298503052575,485.5340483134392,265894806.71480963,355599156.0561387,235867077.4168911,318601194.11225,214855063.26749218
