unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_global_te005_ppr,rank_global_te005_ppr
LME_065,Aleutian Islands,LME,2019,151507.6717909796,151507.6717909796,0.0,1.0,68,68,656388425.4536928,656388425.4536927,656388425.4536928,459111045.8269949,519832900.7373597,0.0011269728835096372,60
LME_019,Greenland Sea,LME,2019,87093.8235737202,87093.8235737202,0.0,1.0,64,64,653543486.3809766,653543486.3809766,653543486.3809766,630004951.104254,648864214.5186539,0.0011220883226827577,61
LME_008,Scotian Shelf,LME,2019,148680.26073080715,148680.26073080715,0.0,1.0,92,92,612771981.5686632,612771981.5686632,612771981.568663,472007041.1564403,428895965.2051755,0.0010520865088762443,62
LME_010,Insular Pacific-Hawaiian,LME,2019,21171.9533963985,21171.9533963985,0.0,1.0,140,140,465205319.0830524,465205319.0830523,465205319.08305234,406425113.1169694,441887481.5499254,0.0007987249005932313,63
HS_031,"Atlantic, Western Central",High Seas,2019,16859.0112032287,16859.0112032287,0.0,1.0,32,32,343084318.8247036,343084318.82470363,343084318.8247036,334083224.1801351,330980766.6476985,0.0005890517094440953,64
LME_039,North Australian Shelf,LME,2019,44872.4444403339,44872.4444403339,0.0,1.0,452,452,303225637.1124419,303225637.1124419,303225637.1124419,155110691.7991038,192797895.0891372,0.0005206171488695208,65
LME_041,East-Central Australian Shelf,LME,2019,39281.024733703096,39281.024733703096,0.0,1.0,382,382,295934682.832198,295934682.832198,295934682.832198,171157276.83365488,233964285.02199227,0.0005080990918013084,66
LME_040,Northeast Australian Shelf-Great Barrier Reef,LME,2019,22842.531697643197,22842.531697643197,0.0,1.0,332,332,272856976.2951934,272856976.2951933,272856976.2951933,176948471.01500493,228007345.52653402,0.00046847628848508484,67
LME_042,Southeast Australian Shelf,LME,2019,32645.7543579061,32645.7543579061,0.0,1.0,246,246,185463309.28187063,185463309.2818707,185463309.28187066,123668257.55615705,128857010.70338869,0.00031842749253562956,68
LME_043,Southwest Australian Shelf,LME,2019,30450.9174249122,30450.9174249122,0.0,1.0,245,245,183526327.9327842,183526327.93278417,183526327.9327842,133635097.61735621,127911500.07353716,0.00031510183143065884,69
LME_045,Northwest Australian Shelf,LME,2019,44647.94498142931,44647.94498142931,0.0,1.0,410,410,164477203.35850698,164477203.35850698,164477203.35850695,105185071.31340614,114651418.57183012,0.0002823958207557006,70
HS_048,"Atlantic, Antarctic",High Seas,2019,154127.61540295082,154127.61540295082,0.0,1.0,6,6,142635961.58961678,142635961.58961678,142635961.58961675,142635958.23439386,142635961.58961675,0.00024489594071332496,71
LME_044,West-Central Australian Shelf,LME,2019,19839.072931287603,19839.072931287603,0.0,1.0,411,411,72464035.16015565,72464035.16015567,72464035.16015567,46176578.65206921,45267733.27614521,0.00012441566531088335,72
HS_088,"Pacific, Antarctic",High Seas,2019,3559.327863,3559.327863,0.0,1.0,32,32,50391352.36923393,50391352.369233936,50391352.36923393,49977259.2137403,50389110.611124866,8.651841726833158e-05,73
LME_063,Hudson Bay Complex,LME,2019,1269.735630608,1269.735630608,0.0,1.0,44,44,30479209.730433233,30479209.73043324,30479209.73043324,28160868.8067402,30116185.202150278,5.2330665113814714e-05,74
HS_067,"Pacific, Northeast",High Seas,2019,402.29139540870005,402.29139540870005,0.0,1.0,16,16,7583360.362070796,7583360.362070798,7583360.362070798,7271321.5604481585,7210180.492378474,1.3020097799604689e-05,75
LME_055,Beaufort Sea,LME,2019,212.78852302800001,212.78852302800001,0.0,1.0,19,19,4526825.410837222,4526825.410837219,4526825.410837221,3662736.633878856,4511515.047449694,7.7722416919063e-06,76
