scientific_name,habitat,tl,source_rows
Aphanius iberus,benthopelagic,3.43,1
Aphanius mento,benthopelagic,2.94,1
Aphanius vladykovi,benthopelagic,3.17,1
Aphanopus carbo,bathypelagic,4.48,1
Aphareus furca,reef-associated,4.14,1
Aphareus rutilans,reef-associated,4.11,1
Aphelochaeta filiformis,benthic,2.0,1
Aphelochaeta marioni,benthic,2.0,1
Aphia minuta,pelagic-neritic,3.1,1
Aphredoderus sayanus,demersal,3.14,1
Aphrodroma brevirostris,others,3.73,1
Aphyocharax anisitsi,benthopelagic,3.22,1
Aphyosemion australe,benthopelagic,3.25,1
Apistogramma amoena,benthopelagic,3.24,1
Apistogramma borellii,benthopelagic,3.26,1
Apistogramma gossei,benthopelagic,3.5,1
Aplatophis chauliodus,demersal,4.03,1
Apletodon dentatus,demersal,3.09,1
Aplocheilichthys johnstoni,benthopelagic,3.2,1
Aplocheilichthys katangae,benthopelagic,3.28,1
Aplocheilichthys myaposae,benthopelagic,2.58,1
Aplocheilus blockii,benthopelagic,3.75,1
Aplocheilus dayi,benthopelagic,3.46,1
Aplocheilus panchax,benthopelagic,3.2,1
Aplocheilus parvus,benthopelagic,3.54,1
Aplocheilus werneri,benthopelagic,3.62,1
Aplodactylus arctidens,reef-associated,2.02,1
Aplodactylus etheridgii,reef-associated,2.0,1
Aplodactylus lophodon,demersal,2.0,1
Aplodactylus punctatus,demersal,2.04,1
Aplodinotus grunniens,demersal,3.36,1
Aplysia californica,benthic,2.0,1
Apocorophium acutum,benthic,2.0,1
Apocryptodon madurensis,demersal,2.0,1
Apodichthys flavidus,demersal,3.55,1
Apodichthys fucorum,demersal,3.39,1
Apogon americanus,demersal,3.4,1
Apogon atricaudus,reef-associated,3.54,1
Apogon aurolineatus,reef-associated,3.4,1
Apogon binotatus,reef-associated,3.4,1
Apogon coccineus,reef-associated,3.5,1
Apogon crassiceps,reef-associated,3.5,1
Apogon doryssa,reef-associated,3.5,1
Apogon dovii,reef-associated,3.4,1
Apogon erythrinus,reef-associated,3.81,1
Apogon guadalupensis,demersal,3.96,1
Apogon imberbis,reef-associated,3.8,1
Apogon maculatus,reef-associated,3.48,1
Apogon pacificus,reef-associated,3.4,1
Apogon pseudomaculatus,reef-associated,3.4,1
Apogon quadrisquamatus,reef-associated,3.4,1
Apogon retrosella,reef-associated,3.5,1
Apogonichthyoides melas,reef-associated,3.5,1
Apogonichthyoides nigripinnis,reef-associated,3.44,1
Apogonichthyoides taeniatus,reef-associated,3.5,1
Apogonops anomalus,demersal,3.78,1
Apolemichthys arcuatus,reef-associated,2.91,1
Apolemichthys griffisi,reef-associated,3.0,1
Apolemichthys trimaculatus,reef-associated,2.64,1
Apolemichthys xanthopunctatus,reef-associated,2.64,1
Apolemichthys xanthotis,reef-associated,2.83,1
Apolemichthys xanthurus,reef-associated,2.68,1
Aprion virescens,reef-associated,4.28,1
Apristurus brunneus,demersal,3.58,1
Apristurus microps,bathydemersal,3.84,1
Apristurus nasutus,bathydemersal,3.1,1
Apristurus saldanha,bathydemersal,4.24,1
Apsilus dentatus,reef-associated,4.08,1
Apsilus fuscus,demersal,3.99,1
Aptenodytes forsteri,others,4.26,1
Aptenodytes patagonicus,others,4.5,1
Apterichtus caecus,demersal,4.06,1
Apterichtus klazingai,demersal,3.86,1
Apteronotus albifrons,benthopelagic,3.03,1
Apteronotus cuchillejo,benthopelagic,3.5,1
Aptocyclus ventricosus,benthopelagic,3.69,1
Aptychotrema rostrata,demersal,3.9,1
Arapaima gigas,demersal,4.5,1
Arca ventricosa,benthic,2.0,1
Archamia bleekeri,reef-associated,3.73,1
Archaster typicus,benthic,2.75,1
Archidoris montereyensis,demersal,3.0,1
Archidoris odhneri,demersal,3.0,1
Architeuthis dux,bathypelagic,4.44,1
Archocentrus centrarchus,benthopelagic,2.64,1
Archocentrus multispinosus,benthopelagic,2.0,1
Archosargus pourtalesii,benthopelagic,2.94,1
Archosargus probatocephalus,reef-associated,3.53,1
Archosargus rhomboidalis,reef-associated,2.89,1
Arcos decoris,demersal,2.94,1
Arcos erythrops,demersal,3.0,1
Arcos macrophthalmus,reef-associated,3.48,1
Arcos rhodospilus,demersal,2.92,1
Arctica islandica,benthic,2.0,1
Arctocephalus australis,bathydemersal,4.5,1
Arctocephalus forsteri,bathydemersal,4.46,1
Arctocephalus gazella,bathydemersal,4.5,1
Arctocephalus philippii,bathydemersal,4.5,1
Arctocephalus pusillus,bathydemersal,4.5,1
Arctocephalus townsendi,bathydemersal,4.5,1
Arctocephalus tropicalis,pelagic,4.48,1
Arctogadus glacialis,bathypelagic,3.82,1
Arctoscopus japonicus,bathydemersal,3.51,1
Arctozenus risso,bathypelagic,3.22,1
Ardea herodias,others,4.43,1
Arenaeus cribrarius,demersal,3.69,1
Argentina aliceae,demersal,3.5,1
Argentina elongata,demersal,3.4,1
Argentina sialis,demersal,3.1,1
Argentina silus,bathydemersal,3.32,1
Argentina sphyraena,bathydemersal,3.62,1
Argentina spp,demersal,3.39,1
Argobuccinum ranelliforme,benthic,3.18,1
Argonauta argo,pelagic,4.5,1
Argonauta hians,pelagic,3.93,1
Argonauta nouryi,pelagic,3.44,1
Argyripnus atlanticus,benthopelagic,3.5,1
Argyropelecus aculeatus,bathypelagic,3.67,1
Argyropelecus affinis,bathypelagic,3.09,1
Argyropelecus hemigymnus,bathypelagic,3.09,1
Argyropelecus lychnus,bathypelagic,3.04,1
Argyropelecus olfersii,bathypelagic,3.36,1
