cohort,year,functional_group,tl
eez,1959,Large demersals (>=90 cm),3.9775316455696204
eez,1959,Large flatfishes (>=90 cm),4.02625
eez,1959,Large pelagics (>=90 cm),4.2924999999999995
eez,1959,Large rays (>=90 cm),3.7220000000000004
eez,1959,Large reef assoc. fish (>=90 cm),3.8041558441558445
eez,1959,Large sharks (>=90 cm),4.207118421052631
eez,1959,"Lobsters, crabs",3.1896774193548385
eez,1959,Medium bathydemersals (30 - 89 cm),3.8703703703703702
eez,1959,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1959,Medium benthopelagics (30 - 89 cm),3.675643564356436
eez,1959,Medium demersals (30 - 89 cm),3.626454545454546
eez,1959,Medium pelagics (30 - 89 cm),3.586767676767677
eez,1959,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1959,Other demersal invertebrates,2.1699
eez,1959,Shrimps,2.9208333333333334
eez,1959,Small bathydemersals (<30 cm),3.505
eez,1959,Small bathypelagics (<30 cm),3.495
eez,1959,Small benthopelagics (<30 cm),3.5044444444444443
eez,1959,Small demersals (<30 cm),3.434590163934426
eez,1959,Small pelagics (<30 cm),3.292142857142857
eez,1959,Small reef assoc. fish (<30 cm),3.278488372093023
eez,1959,Small to medium flatfishes (<90 cm),3.6145588235294115
eez,1959,Small to medium rays (<90 cm),3.786190476190476
eez,1959,Small to medium sharks (<90 cm),3.9246666666666665
eez,1960,Cephalopods,3.8619444444444446
eez,1960,Jellyfish,3.2199999999999998
eez,1960,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1960,Large bathypelagics (>=90 cm),3.893333333333333
eez,1960,Large benthopelagics (>=90 cm),3.9535416666666667
eez,1960,Large demersals (>=90 cm),3.9775316455696204
eez,1960,Large flatfishes (>=90 cm),4.02625
eez,1960,Large pelagics (>=90 cm),4.292753623188406
eez,1960,Large rays (>=90 cm),3.7220000000000004
eez,1960,Large reef assoc. fish (>=90 cm),3.810512820512821
eez,1960,Large sharks (>=90 cm),4.207118421052631
eez,1960,"Lobsters, crabs",3.1758426966292133
eez,1960,Medium bathydemersals (30 - 89 cm),3.8703703703703702
eez,1960,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1960,Medium benthopelagics (30 - 89 cm),3.6790099009900987
eez,1960,Medium demersals (30 - 89 cm),3.6377828054298647
eez,1960,Medium pelagics (30 - 89 cm),3.586767676767677
eez,1960,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1960,Other demersal invertebrates,2.1709379310344827
eez,1960,Shrimps,2.9174698795180722
eez,1960,Small bathydemersals (<30 cm),3.5033333333333334
eez,1960,Small bathypelagics (<30 cm),3.495
eez,1960,Small benthopelagics (<30 cm),3.5044444444444443
eez,1960,Small demersals (<30 cm),3.438196721311475
eez,1960,Small pelagics (<30 cm),3.293693693693694
eez,1960,Small reef assoc. fish (<30 cm),3.2839534883720933
eez,1960,Small to medium flatfishes (<90 cm),3.6221739130434782
eez,1960,Small to medium rays (<90 cm),3.786190476190476
eez,1960,Small to medium sharks (<90 cm),3.9246666666666665
eez,1961,Cephalopods,3.8619444444444446
eez,1961,Jellyfish,3.2199999999999998
eez,1961,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1961,Large bathypelagics (>=90 cm),4.07
eez,1961,Large benthopelagics (>=90 cm),3.9535416666666667
eez,1961,Large demersals (>=90 cm),3.9775316455696204
eez,1961,Large flatfishes (>=90 cm),4.02625
eez,1961,Large pelagics (>=90 cm),4.292753623188406
eez,1961,Large rays (>=90 cm),3.7220000000000004
eez,1961,Large reef assoc. fish (>=90 cm),3.810512820512821
eez,1961,Large sharks (>=90 cm),4.205857142857143
eez,1961,"Lobsters, crabs",3.1758426966292133
eez,1961,Medium bathydemersals (30 - 89 cm),3.8703703703703702
eez,1961,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1961,Medium benthopelagics (30 - 89 cm),3.6790099009900987
eez,1961,Medium demersals (30 - 89 cm),3.641486486486486
eez,1961,Medium pelagics (30 - 89 cm),3.586767676767677
eez,1961,Medium reef assoc. fish (30 - 89 cm),3.4882926829268293
eez,1961,Other demersal invertebrates,2.1663489932885907
eez,1961,Shrimps,2.906547619047619
eez,1961,Small bathydemersals (<30 cm),3.5033333333333334
eez,1961,Small bathypelagics (<30 cm),3.495
eez,1961,Small benthopelagics (<30 cm),3.5044444444444443
eez,1961,Small demersals (<30 cm),3.4318032786885246
eez,1961,Small pelagics (<30 cm),3.293693693693694
eez,1961,Small reef assoc. fish (<30 cm),3.2839534883720933
eez,1961,Small to medium flatfishes (<90 cm),3.6221739130434782
eez,1961,Small to medium rays (<90 cm),3.786190476190476
eez,1961,Small to medium sharks (<90 cm),3.9246666666666665
eez,1962,Cephalopods,3.8619444444444446
eez,1962,Jellyfish,3.2199999999999998
eez,1962,Large bathydemersals (>=90 cm),4.09
eez,1962,Large bathypelagics (>=90 cm),4.036666666666666
eez,1962,Large benthopelagics (>=90 cm),3.9535416666666667
eez,1962,Large demersals (>=90 cm),3.9775316455696204
eez,1962,Large flatfishes (>=90 cm),4.02625
eez,1962,Large pelagics (>=90 cm),4.292753623188406
eez,1962,Large rays (>=90 cm),3.7220000000000004
eez,1962,Large reef assoc. fish (>=90 cm),3.810512820512821
eez,1962,Large sharks (>=90 cm),4.207118421052631
eez,1962,"Lobsters, crabs",3.1758426966292133
eez,1962,Medium bathydemersals (30 - 89 cm),3.8703703703703702
eez,1962,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1962,Medium benthopelagics (30 - 89 cm),3.6790099009900987
eez,1962,Medium demersals (30 - 89 cm),3.6437219730941703
eez,1962,Medium pelagics (30 - 89 cm),3.586767676767677
eez,1962,Medium reef assoc. fish (30 - 89 cm),3.4882926829268293
eez,1962,Other demersal invertebrates,2.1641456953642386
eez,1962,Shrimps,2.9136904761904763
eez,1962,Small bathydemersals (<30 cm),3.5033333333333334
eez,1962,Small bathypelagics (<30 cm),3.495
eez,1962,Small benthopelagics (<30 cm),3.5044444444444443
eez,1962,Small demersals (<30 cm),3.4318032786885246
eez,1962,Small pelagics (<30 cm),3.290990990990991
eez,1962,Small reef assoc. fish (<30 cm),3.2775862068965513
eez,1962,Small to medium flatfishes (<90 cm),3.6221739130434782
eez,1962,Small to medium rays (<90 cm),3.7861904761904763
eez,1962,Small to medium sharks (<90 cm),3.9246666666666665
eez,1963,Cephalopods,3.8619444444444446
eez,1963,Jellyfish,3.2199999999999998
eez,1963,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1963,Large bathypelagics (>=90 cm),4.036666666666666
eez,1963,Large benthopelagics (>=90 cm),3.9535416666666667
eez,1963,Large demersals (>=90 cm),3.9775316455696204
eez,1963,Large flatfishes (>=90 cm),4.02625
eez,1963,Large pelagics (>=90 cm),4.292753623188406
eez,1963,Large rays (>=90 cm),3.7220000000000004
eez,1963,Large reef assoc. fish (>=90 cm),3.810512820512821
eez,1963,Large sharks (>=90 cm),4.208844155844156
eez,1963,"Lobsters, crabs",3.1779545454545457
eez,1963,Medium bathydemersals (30 - 89 cm),3.8703703703703702
eez,1963,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1963,Medium benthopelagics (30 - 89 cm),3.6790099009900987
eez,1963,Medium demersals (30 - 89 cm),3.647111111111111
eez,1963,Medium pelagics (30 - 89 cm),3.5867676767676766
eez,1963,Medium reef assoc. fish (30 - 89 cm),3.4882926829268293
eez,1963,Other demersal invertebrates,2.1641456953642386
eez,1963,Shrimps,2.8947674418604654
eez,1963,Small bathydemersals (<30 cm),3.5033333333333334
eez,1963,Small bathypelagics (<30 cm),3.495
eez,1963,Small benthopelagics (<30 cm),3.5044444444444443
eez,1963,Small demersals (<30 cm),3.4318032786885246
eez,1963,Small pelagics (<30 cm),3.290990990990991
eez,1963,Small reef assoc. fish (<30 cm),3.2775862068965513
eez,1963,Small to medium flatfishes (<90 cm),3.624142857142857
eez,1963,Small to medium rays (<90 cm),3.786190476190476
eez,1963,Small to medium sharks (<90 cm),3.9246666666666665
eez,1964,Cephalopods,3.8683783783783783
eez,1964,Jellyfish,3.2199999999999998
eez,1964,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1964,Large bathypelagics (>=90 cm),4.036666666666666
eez,1964,Large benthopelagics (>=90 cm),3.936326530612245
eez,1964,Large demersals (>=90 cm),3.9775316455696204
eez,1964,Large flatfishes (>=90 cm),4.02625
eez,1964,Large pelagics (>=90 cm),4.292753623188406
eez,1964,Large rays (>=90 cm),3.7220000000000004
