cohort,year,commercial_group,tl
eez,1987,Flatfishes,3.658795180722892
eez,1987,Herring-likes,3.1832835820895524
eez,1987,Molluscs,2.1352432432432433
eez,1987,Other fishes & inverts,3.5444463087248317
eez,1987,Perch-likes,3.5968280871670704
eez,1987,"Salmon, smelts, etc",3.6475
eez,1987,Scorpionfishes,3.7293258426966296
eez,1987,Sharks & rays,3.994351190476191
eez,1987,Tuna & billfishes,4.389230769230769
eez,1988,Anchovies,3.1636
eez,1988,Cod-likes,3.994516129032258
eez,1988,Crustaceans,3.020904522613065
eez,1988,Flatfishes,3.6599999999999997
eez,1988,Herring-likes,3.1871641791044776
eez,1988,Molluscs,2.135210884353741
eez,1988,Other fishes & inverts,3.545996677740864
eez,1988,Perch-likes,3.6022926829268296
eez,1988,"Salmon, smelts, etc",3.6564102564102563
eez,1988,Scorpionfishes,3.7223333333333333
eez,1988,Sharks & rays,3.998112426035503
eez,1988,Tuna & billfishes,4.389230769230769
eez,1989,Anchovies,3.175
eez,1989,Cod-likes,3.987936507936508
eez,1989,Crustaceans,3.01555
eez,1989,Flatfishes,3.6701234567901233
eez,1989,Herring-likes,3.1775757575757577
eez,1989,Molluscs,2.1223496503496504
eez,1989,Other fishes & inverts,3.5558524590163936
eez,1989,Perch-likes,3.598107448107448
eez,1989,"Salmon, smelts, etc",3.65
eez,1989,Scorpionfishes,3.7221111111111114
eez,1989,Sharks & rays,3.9949766081871343
eez,1989,Tuna & billfishes,4.372
eez,1990,Anchovies,3.1636
eez,1990,Cod-likes,3.987936507936508
eez,1990,Crustaceans,3.017328431372549
eez,1990,Flatfishes,3.679493670886076
eez,1990,Herring-likes,3.1775757575757577
eez,1990,Molluscs,2.1365270270270273
eez,1990,Other fishes & inverts,3.5695559210526313
eez,1990,Perch-likes,3.6077017114914423
eez,1990,"Salmon, smelts, etc",3.65
eez,1990,Scorpionfishes,3.752142857142857
eez,1990,Sharks & rays,3.9949766081871343
eez,1990,Tuna & billfishes,4.372
eez,1991,Anchovies,3.175
eez,1991,Cod-likes,3.994516129032258
eez,1991,Crustaceans,3.0131372549019613
eez,1991,Flatfishes,3.679493670886076
eez,1991,Herring-likes,3.1775757575757577
eez,1991,Molluscs,2.1451756756756755
eez,1991,Other fishes & inverts,3.5589087947882736
eez,1991,Perch-likes,3.6101820388349513
eez,1991,"Salmon, smelts, etc",3.65
eez,1991,Scorpionfishes,3.73013698630137
eez,1991,Sharks & rays,3.996633720930233
eez,1991,Tuna & billfishes,4.372
eez,1992,Anchovies,3.175
eez,1992,Cod-likes,3.97296875
eez,1992,Crustaceans,3.0086829268292683
eez,1992,Flatfishes,3.679493670886076
eez,1992,Herring-likes,3.192647058823529
eez,1992,Molluscs,2.135452054794521
eez,1992,Other fishes & inverts,3.562068403908795
eez,1992,Perch-likes,3.605594660194175
eez,1992,"Salmon, smelts, etc",3.66025641025641
eez,1992,Scorpionfishes,3.731351351351351
eez,1992,Sharks & rays,3.996633720930233
eez,1992,Tuna & billfishes,4.372
eez,1993,Anchovies,3.1833333333333336
eez,1993,Cod-likes,3.97296875
eez,1993,Crustaceans,3.0080392156862743
eez,1993,Flatfishes,3.6725925925925926
eez,1993,Herring-likes,3.1956521739130435
eez,1993,Molluscs,2.1263243243243246
eez,1993,Other fishes & inverts,3.559823717948718
eez,1993,Perch-likes,3.6038443113772454
eez,1993,"Salmon, smelts, etc",3.66025641025641
eez,1993,Scorpionfishes,3.7167741935483876
eez,1993,Sharks & rays,3.996633720930233
eez,1993,Tuna & billfishes,4.372
eez,1994,Anchovies,3.1833333333333336
eez,1994,Cod-likes,3.953823529411765
eez,1994,Crustaceans,3.010673076923077
eez,1994,Flatfishes,3.672439024390244
eez,1994,Herring-likes,3.192647058823529
eez,1994,Molluscs,2.1283624161073824
eez,1994,Other fishes & inverts,3.5589331210191086
eez,1994,Perch-likes,3.602129186602871
eez,1994,"Salmon, smelts, etc",3.65125
eez,1994,Scorpionfishes,3.707708333333333
eez,1994,Sharks & rays,3.996029239766082
eez,1994,Tuna & billfishes,4.372
eez,1995,Anchovies,3.1833333333333336
eez,1995,Cod-likes,3.961363636363636
eez,1995,Crustaceans,3.016829268292683
eez,1995,Flatfishes,3.665609756097561
eez,1995,Herring-likes,3.1775757575757577
eez,1995,Molluscs,2.120243243243243
eez,1995,Other fishes & inverts,3.5611792452830184
eez,1995,Perch-likes,3.602749099639856
eez,1995,"Salmon, smelts, etc",3.66025641025641
eez,1995,Scorpionfishes,3.716666666666667
eez,1995,Sharks & rays,3.996633720930233
eez,1995,Tuna & billfishes,4.372
eez,1996,Anchovies,3.1833333333333336
eez,1996,Cod-likes,3.966923076923077
eez,1996,Crustaceans,3.017129186602871
eez,1996,Flatfishes,3.665609756097561
eez,1996,Herring-likes,3.183529411764706
eez,1996,Molluscs,2.133530201342282
eez,1996,Other fishes & inverts,3.542523510971787
eez,1996,Perch-likes,3.5990226460071515
eez,1996,"Salmon, smelts, etc",3.66025641025641
eez,1996,Scorpionfishes,3.7144680851063834
eez,1996,Sharks & rays,3.997132183908046
eez,1996,Tuna & billfishes,4.372
eez,1997,Anchovies,3.1833333333333336
eez,1997,Cod-likes,3.9620895522388055
eez,1997,Crustaceans,3.002701421800948
eez,1997,Flatfishes,3.665609756097561
eez,1997,Herring-likes,3.177910447761194
eez,1997,Molluscs,2.133395973154362
eez,1997,Other fishes & inverts,3.5470652173913044
eez,1997,Perch-likes,3.598212157330155
eez,1997,"Salmon, smelts, etc",3.66025641025641
eez,1997,Scorpionfishes,3.7096195652173916
eez,1997,Sharks & rays,3.9954971098265895
eez,1997,Tuna & billfishes,4.372
eez,1998,Anchovies,3.1833333333333336
eez,1998,Cod-likes,3.9762121212121215
eez,1998,Crustaceans,3.0104929577464787
eez,1998,Flatfishes,3.666829268292683
eez,1998,Herring-likes,3.1873529411764707
eez,1998,Molluscs,2.1423116883116884
eez,1998,Other fishes & inverts,3.5554843750000003
eez,1998,Perch-likes,3.6058934911242604
eez,1998,"Salmon, smelts, etc",3.66025641025641
eez,1998,Scorpionfishes,3.714787234042553
eez,1998,Sharks & rays,3.9937199999999997
eez,1998,Tuna & billfishes,4.372
eez,1999,Anchovies,3.1726923076923077
eez,1999,Cod-likes,3.9676119402985073
eez,1999,Crustaceans,3.003341013824885
eez,1999,Flatfishes,3.665609756097561
eez,1999,Herring-likes,3.1873529411764707
eez,1999,Molluscs,2.1320536912751678
eez,1999,Other fishes & inverts,3.563225308641975
eez,1999,Perch-likes,3.5998366394399066
eez,1999,"Salmon, smelts, etc",3.66025641025641
eez,1999,Scorpionfishes,3.716494845360825
eez,1999,Sharks & rays,3.9954858757062146
eez,1999,Tuna & billfishes,4.372
eez,2000,Anchovies,3.1726923076923077
eez,2000,Cod-likes,3.937971014492754
eez,2000,Crustaceans,3.0008371040723985
eez,2000,Flatfishes,3.671566265060241
eez,2000,Herring-likes,3.183529411764706
eez,2000,Molluscs,2.126941935483871
eez,2000,Other fishes & inverts,3.5754813664596274
eez,2000,Perch-likes,3.6001641266119577
eez,2000,"Salmon, smelts, etc",3.65
eez,2000,Scorpionfishes,3.714421052631579
eez,2000,Sharks & rays,4.000394444444445
eez,2000,Tuna & billfishes,4.374390243902439
eez,2001,Anchovies,3.1726923076923077
eez,2001,Cod-likes,3.954852941176471
eez,2001,Crustaceans,3.0043526785714287
eez,2001,Flatfishes,3.6838749999999996
eez,2001,Herring-likes,3.1873529411764707
eez,2001,Molluscs,2.126448717948718
eez,2001,Other fishes & inverts,3.5642401215805473
eez,2001,Perch-likes,3.6037631887456034
eez,2001,"Salmon, smelts, etc",3.65
eez,2001,Scorpionfishes,3.7158333333333338
eez,2001,Sharks & rays,3.995360655737705
eez,2001,Tuna & billfishes,4.374390243902439
eez,2002,Anchovies,3.1833333333333336
eez,2002,Cod-likes,3.9583333333333335
eez,2002,Crustaceans,3.0021493212669683
eez,2002,Flatfishes,3.6827160493827162
eez,2002,Herring-likes,3.192753623188406
eez,2002,Molluscs,2.1256433121019107
eez,2002,Other fishes & inverts,3.566852409638554
