unit_id,year,metric,reference,historical,difference,comparison_status,passed
EEZ_608,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_608,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_608,2019,taxa_count,172.0,172.0,0.0,numeric_reproduction,True
EEZ_608,2019,matched_taxa_count,172.0,172.0,0.0,numeric_reproduction,True
EEZ_608,2019,ppr_species,1117733410.478486,1117733410.478486,0.0,numeric_reproduction,True
EEZ_608,2019,ppr_commercial_correct,1117733410.4784863,1117733410.4784863,0.0,numeric_reproduction,True
EEZ_608,2019,ppr_functional_correct,1117733410.478486,1117733410.4784863,2.384185791015625e-07,numeric_reproduction,True
EEZ_608,2019,ppr_commercial_jensen,863818470.0629802,863818470.0629798,-3.5762786865234375e-07,numeric_reproduction,True
EEZ_608,2019,ppr_functional_jensen,865862679.5151173,865862679.5151168,-4.76837158203125e-07,numeric_reproduction,True
EEZ_478,2019,total_catch_tonnes,2210253.937882072,2210253.937882072,0.0,numeric_reproduction,True
EEZ_478,2019,matched_catch_tonnes,2210253.937882072,2210253.937882072,0.0,numeric_reproduction,True
EEZ_478,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_478,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_478,2019,taxa_count,229.0,229.0,0.0,numeric_reproduction,True
EEZ_478,2019,matched_taxa_count,229.0,229.0,0.0,numeric_reproduction,True
EEZ_478,2019,ppr_species,1032601351.4376888,1032601351.4376887,-1.1920928955078125e-07,numeric_reproduction,True
EEZ_478,2019,ppr_commercial_correct,1032601351.4376886,1032601351.4376886,0.0,numeric_reproduction,True
EEZ_478,2019,ppr_functional_correct,1032601351.4376888,1032601351.4376887,-1.1920928955078125e-07,numeric_reproduction,True
EEZ_478,2019,ppr_commercial_jensen,881884300.2249317,881884300.2249315,-2.384185791015625e-07,numeric_reproduction,True
EEZ_478,2019,ppr_functional_jensen,887683160.6813964,887683160.6813961,-2.384185791015625e-07,numeric_reproduction,True
EEZ_937,2019,total_catch_tonnes,1876235.8826732747,1876235.8826732747,0.0,numeric_reproduction,True
EEZ_937,2019,matched_catch_tonnes,1876235.8826732747,1876235.8826732747,0.0,numeric_reproduction,True
EEZ_937,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_937,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_937,2019,taxa_count,138.0,138.0,0.0,numeric_reproduction,True
EEZ_937,2019,matched_taxa_count,138.0,138.0,0.0,numeric_reproduction,True
