year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,unit_id
1974,318,52865.7315440022,52865.7315440022,0.0,True,EEZ_090
1975,366,34626.2965544012,34626.296554401204,7.275957614183426e-12,True,EEZ_090
1976,393,50461.9188439166,50461.9188439166,0.0,True,EEZ_090
1977,380,51069.8344877023,51069.8344877023,0.0,True,EEZ_090
1978,374,52557.4268201782,52557.426820178196,-7.275957614183426e-12,True,EEZ_090
1979,187,51004.7947302716,51004.7947302716,0.0,True,EEZ_090
1980,231,53611.0245630766,53611.0245630766,0.0,True,EEZ_090
1981,270,52646.3292716667,52646.3292716667,0.0,True,EEZ_090
1982,289,65645.9237777489,65645.9237777489,0.0,True,EEZ_090
1983,293,81897.7135634375,81897.7135634375,0.0,True,EEZ_090
1984,310,86085.3223666984,86085.3223666984,0.0,True,EEZ_090
1985,322,74753.0527799606,74753.0527799606,0.0,True,EEZ_090
1986,204,64058.3253221283,64058.3253221283,0.0,True,EEZ_090
1987,229,53611.6785713338,53611.678571333796,-7.275957614183426e-12,True,EEZ_090
1988,292,101464.3020918774,101464.3020918774,0.0,True,EEZ_090
1989,291,101650.04317507609,101650.04317507609,0.0,True,EEZ_090
1990,334,86523.36773402471,86523.36773402471,0.0,True,EEZ_090
1991,372,154621.3228769706,154621.3228769706,0.0,True,EEZ_090
1992,406,117158.8693339018,117158.86933390179,-1.4551915228366852e-11,True,EEZ_090
1993,439,118489.8620432659,118489.8620432659,0.0,True,EEZ_090
1994,496,142694.9925762208,142694.9925762208,0.0,True,EEZ_090
1995,536,179886.740983728,179886.740983728,0.0,True,EEZ_090
1996,552,175847.7498643974,175847.7498643974,0.0,True,EEZ_090
1997,530,150202.6622789957,150202.6622789957,0.0,True,EEZ_090
1998,520,255990.50856307958,255990.50856307958,0.0,True,EEZ_090
1999,508,118780.9731430104,118780.9731430104,0.0,True,EEZ_090
2000,487,44903.8410168936,44903.8410168936,0.0,True,EEZ_090
2001,557,76587.100722317,76587.100722317,0.0,True,EEZ_090
2002,581,89528.8663176035,89528.8663176035,0.0,True,EEZ_090
2003,600,133627.8903859648,133627.8903859648,0.0,True,EEZ_090
2004,640,184516.4067250446,184516.4067250446,0.0,True,EEZ_090
2005,650,186566.3174986522,186566.3174986522,0.0,True,EEZ_090
2006,656,196919.6623976076,196919.6623976076,0.0,True,EEZ_090
