unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_global_ppr,rank_global_ppr
LME_001,East Bering Sea,LME,2019,1300999.7714510453,1300999.7714510453,0.0,1.0,73,73,816435933.9124104,816435933.9124104,816435933.9124105,651544945.5261025,689600284.1461229,0.012511913440814268,25
LME_011,Pacific Central-American Coastal,LME,2019,1587670.713519913,1587670.713519913,0.0,1.0,270,270,748768977.2026196,748768977.2026193,748768977.2026194,571582336.2211993,616011177.0694925,0.011474914614587862,26
LME_046,New Zealand Shelf,LME,2019,431127.77716673305,431127.77716673305,0.0,1.0,197,197,722610291.6356041,722610291.6356039,722610291.635604,625979302.9233905,640351591.0568204,0.011074031708844658,27
LME_059,Iceland Shelf and Sea,LME,2019,697974.9116856114,697974.9116856114,0.0,1.0,74,74,707135211.9152755,707135211.9152755,707135211.9152753,670516995.6658894,648512955.9012274,0.010836875491304599,28
LME_020,Barents Sea,LME,2019,675569.0179631643,675569.0179631643,0.0,1.0,138,138,661277433.8131701,661277433.8131701,661277433.8131702,631761250.3934948,611750577.6098361,0.010134103202177053,29
HS_087,"Pacific, Southeast",High Seas,2019,245882.41767354257,245882.41767354257,0.0,1.0,25,25,657270846.1435144,657270846.1435144,657270846.1435145,654505526.6641706,653973496.1491203,0.010072702085404131,30
HS_034,"Atlantic, Eastern Central",High Seas,2019,235319.45527268611,235319.45527268611,0.0,1.0,37,37,580150840.1289461,580150840.128946,580150840.1289461,577913963.9606429,573709660.5593073,0.008890834899346549,31
HS_057,"Indian Ocean, Eastern",High Seas,2019,249459.52394633277,249459.52394633277,0.0,1.0,34,34,577352176.9718388,577352176.9718388,577352176.9718387,561837233.6617491,561492847.4666706,0.008847945274187695,32
LME_005,Gulf of Mexico,LME,2019,1549275.8254257175,1549275.8254257175,0.0,1.0,418,418,558361747.8475869,558361747.8475868,558361747.8475869,352850227.10518026,421891503.66125906,0.008556916186004456,33
LME_051,Oyashio Current,LME,2019,1092021.8374498228,1092021.8374498228,0.0,1.0,143,143,528421987.24496377,528421987.2449637,528421987.2449638,405330451.30796736,415171646.0100482,0.008098088153652185,34
LME_053,West Bering Sea,LME,2019,705687.5220776038,705687.5220776038,0.0,1.0,63,63,511445832.05498385,511445832.05498385,511445832.0549839,392569072.97454214,341774720.3779067,0.007837927894319887,35
LME_030,Agulhas Current,LME,2019,794215.4259763142,794215.4259763142,0.0,1.0,272,272,482169734.53988993,482169734.5398899,482169734.53988993,371322087.27435106,404858007.0563225,0.0073892705254086965,36
LME_060,Faroe Plateau,LME,2019,420222.20101457404,420222.20101457404,0.0,1.0,114,114,476451437.8234684,476451437.82346827,476451437.82346827,464921354.3871538,468250278.9980398,0.007301637398824101,37
LME_007,Northeast U.S. Continental Shelf,LME,2019,700878.7473042159,700878.7473042159,0.0,1.0,232,232,432863601.07882154,432863601.0788215,432863601.07882154,318789633.10278773,363980234.12803376,0.006633652052064641,38
LME_012,Caribbean Sea,LME,2019,625707.9632201534,625707.9632201534,0.0,1.0,507,507,398459551.5651003,398459551.56510025,398459551.5651003,269270898.9438963,318302383.71405965,0.006106408613052378,39
LME_025,Iberian Coastal,LME,2019,429516.3330948258,429516.3330948258,0.0,1.0,432,432,350502389.2247894,350502389.2247894,350502389.22478944,290052892.74702895,317576506.32073075,0.005371463176251673,40
LME_021,Norwegian Sea,LME,2019,707251.5165434971,707251.5165434971,0.0,1.0,162,162,338234665.9022903,338234665.9022903,338234665.9022902,335085397.39012265,329594728.18682873,0.005183459824180408,41
LME_017,North Brazil Shelf,LME,2019,453226.03085279715,453226.03085279715,0.0,1.0,311,311,292573328.34463125,292573328.3446312,292573328.3446312,189166998.1074495,222989340.40241998,0.004483697994277262,42
LME_062,Black Sea,LME,2019,1145168.1859547237,1145168.1859547237,0.0,1.0,120,120,287609386.6659423,287609386.6659423,287609386.6659424,257887285.09777054,257454061.90611702,0.004407625388908977,43
HS_061,"Pacific, Northwest",High Seas,2019,132995.67933726683,132995.67933726683,0.0,1.0,21,21,284384862.0630329,284384862.06303287,284384862.0630329,282590083.8142501,282258802.3773237,0.004358209420008585,44
LME_009,Newfoundland-Labrador Shelf,LME,2019,506689.99406100786,506689.99406100786,0.0,1.0,111,111,272326949.81673676,272326949.8167369,272326949.81673676,222909537.7389832,248795200.32622927,0.004173421431097286,45
LME_004,Gulf of California,LME,2019,664877.8552277525,664877.8552277525,0.0,1.0,129,129,254257319.8187799,254257319.8187799,254257319.81877995,187669905.16739705,193115605.2914297,0.0038965036264649484,46
LME_023,Baltic Sea,LME,2019,937172.6469930055,937172.6469930055,0.0,1.0,117,117,250346631.37596366,250346631.3759636,250346631.37596354,225670148.64899933,229959848.8100546,0.0038365721691906063,47
