taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Brachyura,Crabs and shrimps,1.000000,single,high,191958.178,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Pandalus borealis,Crabs and shrimps,1.000000,single,high,178082.576,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Cephalopoda,Unresolved,,,unresolved,165448.29,,,,,,,,,,,,,,,,,,,,
Trachurus japonicus,Unresolved,,,unresolved,160436.364,,,,,,,,,,,,,,,,,,,,
Mizuhopecten yessoensis,2nd level benthos,1.000000,single,medium,146408.228,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,2.983493,4.120985
Octopodidae,Unresolved,,,unresolved,145261.179,,,,,,,,,,,,,,,,,,,,
Sciaenidae,Unresolved,,,unresolved,115312.669,,,,,,,,,,,,,,,,,,,,
Carangidae,Unresolved,,,unresolved,113522.544,,,,,,,,,,,,,,,,,,,,
Sebastes,Other bottom fishes,1.000000,single,medium,97536.089,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Echinoidea,2nd level benthos,1.000000,single,medium,94820.673,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,2.983493,4.120985
Seriola lalandi,Unresolved,,,unresolved,87092.753,,,,,,,,,,,,,,,,,,,,
Mugil cephalus,Unresolved,,,unresolved,85819.282,,,,,,,,,,,,,,,,,,,,
Chondrichthyes,Unresolved,,,unresolved,84064.859,,,,,,,,,,,,,,,,,,,,
Scombridae,Unresolved,,,unresolved,81111.298,,,,,,,,,,,,,,,,,,,,
Sebastes alutus,Other bottom fishes,1.000000,single,medium,78933.788,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Oncorhynchus tshawytscha,Salmon,1.000000,single,high,73299.914,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,105.886534,808.068303
