taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Leiognathus,Ponyfishes,1.000000,single,high,71930.492,92.758633,55.624121,13.440773,22.381404,58.637366,58.637366,56.980549,167.671166,167.671166,176.997850,35.276744,19.385003,,,,,,,36.887608,202.789555
Tetraodontidae,Unresolved,,,unresolved,71255.164,,,,,,,,,,,,,,,,,,,,
Seriolina nigrofasciata,Scad,1.000000,single,medium,70747.88,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Miscellaneous aquatic invertebrates,Benthos,1.000000,single,medium,66279.977,92.758633,30.493728,9.112489,11.291188,40.295240,40.295240,13.120387,126.575988,126.575988,133.836756,21.065935,13.449167,,,,,,,21.641079,153.158581
Parapenaeopsis,Shrimps,1.000000,single,high,62355.172,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Lutjanus,Grouper/snapper,1.000000,single,high,60526.458,92.758633,729.665396,70.989252,131.686727,458.291515,458.291515,404.883308,1297.204135,1297.204135,1373.024947,262.162033,111.742313,,,,,,,275.539950,1611.072376
Cephalopoda,Cephalopods,1.000000,single,high,60321.072,92.758633,207.108363,31.446324,45.753688,121.772840,121.772840,118.239630,349.557692,349.557692,370.254323,98.097358,49.643681,,,,,,,102.685825,423.372501
Pristipomoides,Grouper/snapper,1.000000,single,high,58553.784,92.758633,729.665396,70.989252,131.686727,458.291515,458.291515,404.883308,1297.204135,1297.204135,1373.024947,262.162033,111.742313,,,,,,,275.539950,1611.072376
Lutjanus quinquelineatus,Grouper/snapper,1.000000,single,high,56414.901,92.758633,729.665396,70.989252,131.686727,458.291515,458.291515,404.883308,1297.204135,1297.204135,1373.024947,262.162033,111.742313,,,,,,,275.539950,1611.072376
Siganus,Med.dem.benth.,1.000000,single,medium,55887.884,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Nemipterus japonicus,Sm.dem.benth.,1.000000,single,medium,54847.974,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Mugil,Med.dem.benth.,1.000000,single,medium,54179.339,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Ilisha elongata,Sm. pelagics,1.000000,single,medium,54146.702,92.758633,79.432823,16.922772,17.234838,22.609246,22.609246,21.478784,30.239099,30.239099,31.345103,25.592867,15.901406,,,,,,,26.435615,32.617468
Carangoides,Scad,1.000000,single,medium,49887.076,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Tegillarca granosa,Molluscs,1.000000,single,high,49447.542,92.758633,15.848932,5.968659,7.276791,8.760194,8.760194,7.884174,10.549912,10.549912,10.809345,8.798415,6.022535,,,,,,,8.928714,11.192817
Acanthurus,Sm.dem.benth.,1.000000,single,medium,45887.117,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Mierspenaeopsis sculptilis,Shrimps,1.000000,single,high,44488.748,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Ozius guttatus,"Crab, lobster",1.000000,single,high,42452.42,92.758633,55.221127,13.377731,27.235027,96.283275,96.283275,82.590480,295.897518,295.897518,313.590452,47.292261,26.133043,,,,,,,48.061459,357.511777
Marine groundfishes not identified,O.fish,1.000000,single,medium,42037.471,92.758633,41.788101,11.171569,19.389776,48.215370,48.215370,48.150458,135.960121,135.960121,143.850985,31.644149,18.194690,,,,,,,33.308007,163.430350
Bothidae,Flatfish,1.000000,single,high,41840.193,92.758633,198.898533,30.634607,45.331490,137.630101,137.630101,132.468972,418.824939,418.824939,443.184514,74.286663,38.351856,,,,,,,77.343250,521.310720
Thunnus albacares,Tuna,1.000000,single,high,40244.34,92.758633,1217.891849,98.865180,153.001145,327.693492,327.693492,311.308817,675.870038,675.870038,710.633419,254.942405,107.862693,,,,,,,261.836456,788.138459
Rachycentron canadum,Lg. piscivores,1.000000,single,medium,39895.876,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Penaeus japonicus,Shrimps,1.000000,single,high,39415.416,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Melicertus canaliculatus,Shrimps,1.000000,single,high,39399.968,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Plectorhinchus,Med.dem.benth.,1.000000,single,medium,38254.696,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Pampus argenteus,Med.dem.benth.,1.000000,single,medium,35650.312,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Muraenesox,Lg. piscivores,1.000000,single,medium,34677.494,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Scomberomorus commerson,Scomberomorus,1.000000,single,high,34093.475,92.758633,729.447588,70.975550,108.592819,234.170666,234.170666,222.462132,510.434635,510.434635,537.808771,191.217924,85.807645,,,,,,,199.364065,610.071112
Clupeiformes,Sm. pelagics,1.000000,single,high,33184.992,92.758633,79.432823,16.922772,17.234838,22.609246,22.609246,21.478784,30.239099,30.239099,31.345103,25.592867,15.901406,,,,,,,26.435615,32.617468
Sphyraena obtusata,Med.dem.pisc.,1.000000,single,medium,31660.37,92.758633,213.954708,32.114569,52.467555,158.091504,158.091504,155.980707,445.224589,445.224589,471.516338,104.595857,51.592439,,,,,,,108.747113,553.840978
Scyris indica,Lg. piscivores,1.000000,single,medium,28427.458,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Anodontostoma chacunda,Sm. pelagics,1.000000,single,high,27953.747,92.758633,79.432823,16.922772,17.234838,22.609246,22.609246,21.478784,30.239099,30.239099,31.345103,25.592867,15.901406,,,,,,,26.435615,32.617468
Auxis thazard,Tuna,1.000000,single,high,27601.575,92.758633,1217.891849,98.865180,153.001145,327.693492,327.693492,311.308817,675.870038,675.870038,710.633419,254.942405,107.862693,,,,,,,261.836456,788.138459
