eez_unit_id,eez_name,lme_unit_id,lme_name,eez_area_km2,lme_area_km2,intersection_km2,intersection_fraction_of_eez,intersection_fraction_of_lme,eez_to_lme_area_ratio,lme_mostly_contained,flag_prefer_eez_candidate,flag_review_110_120
EEZ_157,Taiwan,LME_036,South China Sea,1147428.8675345082,3164824.0447257855,978320.554518573,0.8526197851555714,0.3091232058063244,0.3625569230133698,False,False,False
EEZ_157,Taiwan,LME_047,East China Sea,1147428.8675345082,779660.4335896934,120632.45718272497,0.10513284143001311,0.1547243543286043,1.4717033443027812,False,False,False
EEZ_157,Taiwan,LME_049,Kuroshio Current,1147428.8675345082,1320719.814467396,47336.25493201857,0.041254195594477634,0.035841254453434376,0.8687905299559919,False,False,False
EEZ_174,Comoros Isl.,LME_030,Agulhas Current,231439.09730520734,2626846.36963807,207669.7192454233,0.8972974819875033,0.07905666720586947,0.08810530375139346,False,False,False
EEZ_174,Comoros Isl.,LME_031,Somali Coastal Current,231439.09730520734,840641.0911217374,23223.484307484854,0.10034382512674245,0.02762592092244245,0.2753126152760138,False,False,False
EEZ_175,Mayotte (France),LME_030,Agulhas Current,66564.53664489921,2626846.36963807,66506.09368664381,0.9991220105900057,0.02531784669836139,0.025340095033449007,False,False,False
EEZ_178,"Congo, R. of",LME_028,Guinea Current,33792.9398921022,1918690.5432233866,33682.66997879706,0.9967368949355332,0.017555029964451907,0.01761250140699099,False,False,False
EEZ_180,Congo (ex-Zaire),LME_028,Guinea Current,13151.36244471965,1918690.5432233866,11529.609127449234,0.8766855278996922,0.006009103014642253,0.006854342661545334,False,False,False
EEZ_180,Congo (ex-Zaire),LME_029,Benguela Current,13151.36244471965,1458156.5656590832,1569.6286691438181,0.11935103117578766,0.0010764472801549606,0.009019170337703254,False,False,False
EEZ_191,Croatia,LME_026,Mediterranean Sea,56134.81411396706,2527801.206996367,55724.960883408385,0.99269876925705,0.02204483514335488,0.022206973380105577,False,False,False
EEZ_192,Cuba,LME_005,Gulf of Mexico,352563.4221543121,1532439.5578843302,55950.46593810242,0.15869617329052838,0.0365107162956215,0.23006677186084742,False,False,False
EEZ_192,Cuba,LME_012,Caribbean Sea,352563.4221543121,3262576.84767364,294911.29173012835,0.8364772781251533,0.0903921364918693,0.1080628713483654,False,False,False
EEZ_197,Cyprus (North),LME_026,Mediterranean Sea,17555.247741041076,2527801.206996367,17474.78948393912,0.9954168543623648,0.0069130394572061125,0.006944868802361604,False,False,False
EEZ_198,Cyprus (South),LME_026,Mediterranean Sea,80948.3455476028,2527801.206996367,80803.57254860135,0.9982115385061661,0.0319659521978848,0.03202322450181469,False,False,False
EEZ_204,Benin,LME_028,Guinea Current,35693.59622507248,1918690.5432233866,35439.778364044076,0.9928889804370535,0.018470815155270166,0.01860310217879507,False,False,False
EEZ_212,Dominica,LME_012,Caribbean Sea,28621.6644516181,3262576.84767364,15849.358869789028,0.5537539193983877,0.004857926605189488,0.008772717329869669,False,False,False
EEZ_214,Dominican Republic,LME_012,Caribbean Sea,377566.62882686494,3262576.84767364,232051.7406143485,0.614598120960412,0.07112529495812843,0.11572650896976923,False,False,False
EEZ_218,Ecuador (mainland),LME_011,Pacific Central-American Coastal,234368.6690185131,1981662.465291764,138902.81774784098,0.5926680316508895,0.07009408523433382,0.1182687128223961,False,False,False
EEZ_222,El Salvador,LME_011,Pacific Central-American Coastal,94248.68859363357,1981662.465291764,88848.93824858099,0.9427074219744918,0.044835555905581324,0.04756041467423019,False,False,False
EEZ_226,Equatorial Guinea,LME_028,Guinea Current,302959.3278481262,1918690.5432233866,79558.89955054523,0.2626058755663341,0.04146520648237878,0.15789900508872923,False,False,False
EEZ_233,Estonia,LME_023,Baltic Sea,36339.615107312,396444.90371621336,35687.41928133159,0.9820527591155147,0.09001861027043917,0.09166372115436484,False,False,False
EEZ_234,Faeroe Isl. (Denmark),LME_021,Norwegian Sea,272076.4346233961,1060118.1873210357,94933.04425191596,0.34892049501942635,0.08954949116741016,0.25664726619863487,False,False,False
EEZ_234,Faeroe Isl. (Denmark),LME_022,North Sea,272076.4346233961,696532.8905595425,9684.77154168385,0.03559577497069659,0.013904255883600598,0.3906153439571679,False,False,False
EEZ_234,Faeroe Isl. (Denmark),LME_059,Iceland Shelf and Sea,272076.4346233961,480787.1636455053,25211.41277169169,0.09266297835234767,0.05243778261576177,0.5658978758093547,False,False,False
EEZ_234,Faeroe Isl. (Denmark),LME_060,Faroe Plateau,272076.4346233961,104186.75713574768,102961.79109181772,0.37842965427834946,0.9882425936116437,2.611430109768178,True,True,False
EEZ_238,Falkland Isl. (UK),LME_014,Patagonian Shelf,550413.2949961914,1170311.112854071,234808.65587391448,0.42660425903327653,0.20063780758372868,0.47031365331042857,False,False,False
EEZ_246,Finland,LME_023,Baltic Sea,84203.40825310622,396444.90371621336,82533.72569687314,0.9801708435457364,0.20818460503140468,0.21239624337151633,False,False,False
EEZ_251,Mozambique Channel Isl. (France),LME_030,Agulhas Current,309792.82429001847,2626846.36963807,309792.82429001824,0.9999999999999992,0.11793336217553593,0.11793336217553602,False,False,False
EEZ_254,French Guiana,LME_017,North Brazil Shelf,131176.9272345226,1054826.778598855,117681.16436888558,0.8971178609672048,0.11156444523071697,0.12435873822692216,False,False,False
EEZ_262,Djibouti,LME_032,Arabian Sea,7601.555570830089,3931902.1047515674,6915.702716944711,0.9097746707901153,0.001758869507098695,0.001933302347900237,False,False,False
EEZ_262,Djibouti,LME_033,Red Sea,7601.555570830089,460970.08083065716,489.52123747776164,0.06439750823584468,0.0010619371144340996,0.016490344790126652,False,False,False
