unit_id,eez_unit_id,eez_name,sau_region_id,area_km2,lme_union_intersection_km2,lme_overlap_fraction_of_eez,hs_union_intersection_km2,hs_overlap_fraction_of_eez,uncovered_by_lme_or_hs_km2,geometry_repaired,flag_add_low_lme_overlap,flag_prefer_eez_candidate,flag_review_110_120,prefer_eez_lme_ids,review_110_120_lme_ids,mostly_contained_lme_ids,mostly_contained_lme_count,max_lme_containment_fraction,max_eez_to_lme_area_ratio,max_eez_to_mostly_contained_lme_area_ratio
EEZ_428,EEZ_428,Latvia,428,28134.782934099727,27959.88087194695,0.9937834223721416,0.0,0.0,174.9030598432243,False,False,False,False,,,,0,0.070526523635076,0.07096769985026573,0.0
EEZ_430,EEZ_430,Liberia,430,250086.1462022722,247429.50519639315,0.9893770964676694,159.45675887833065,0.0006376073257147176,2620.4672381415958,True,False,False,False,,,,0,0.1289574840874096,0.13034209559511833,0.0
EEZ_434,EEZ_434,Libya,434,363821.3807070278,363037.35066975525,0.9978450138478697,0.0,0.0,784.0264592361043,True,False,False,False,,,,0,0.14361784054258386,0.14392800339680775,0.0
EEZ_440,EEZ_440,Lithuania,440,7008.331721446631,6938.703792082944,0.9900649780673747,0.0,0.0,69.62921358713297,True,False,False,False,,,,0,0.017502315522385598,0.0176779463066661,0.0
EEZ_450,EEZ_450,Madagascar,450,1238493.7218613813,870483.8367576683,0.7028568828345643,210.36521643320918,0.0001698556986764882,367900.13501613063,True,False,False,False,,,,0,0.3313798046277082,0.4714755062101414,0.0
EEZ_459,EEZ_459,Malaysia (Peninsula West),459,68574.12771320854,68009.60076608507,0.9917676394006143,0.0,0.0,564.5274025667408,True,False,False,False,,,,0,0.018526382543400385,0.021667595652746664,0.0
EEZ_460,EEZ_460,Malaysia (Peninsula East),460,132226.57561793693,131379.57869338623,0.9935943518117109,0.0,0.0,846.9967505986192,True,False,False,False,,,,0,0.22541547993958874,0.3413979230854992,0.0
EEZ_461,EEZ_461,Malaysia (Sabah),461,137590.1571123239,136538.9885843299,0.992360147338622,0.0,0.0,1051.1687820560146,True,False,False,False,,,,0,0.03486398985788184,0.13570937828981686,0.0
EEZ_462,EEZ_462,Maldives,462,923586.8532356664,51462.13998000543,0.05571987063232279,404.1266852141548,0.000437562188979141,871720.5867375076,False,True,False,False,,,,0,0.01308835739267649,0.23489568881166795,0.0
EEZ_463,EEZ_463,Malaysia (Sarawak),463,172275.94671695333,171637.10256241393,0.9962917391155655,0.0,0.0,638.8439301771092,True,False,False,False,,,,0,0.054232747267087114,0.0544346049835071,0.0
EEZ_470,EEZ_470,Malta,470,52530.4269671255,52510.97063989156,0.9996296179498766,0.0,0.0,19.457005679644467,False,False,False,False,,,,0,0.020773378260344755,0.020781075197580205,0.0
EEZ_474,EEZ_474,Martinique (France),474,47488.325606302045,20239.039117226996,0.4261897815689911,3.40134347588309,7.162483478743051e-05,27245.884849723065,True,False,False,False,,,,0,0.00620339077427657,0.014555465763254985,0.0
EEZ_478,EEZ_478,Mauritania,478,173096.20192285252,172669.22513031858,0.9975332977396913,0.0,0.0,426.9779271688171,True,False,False,False,,,,0,0.1537160556925634,0.15409616505120008,0.0
