Group number,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
52,Coastal omnivores,0.0024246,,,0.003022907,,0.002768933,0.01905423,0.02468746,0.01985801,0.01506992,0.0260205,0.01809967,0.02395396,0.003190235,0.01930741,0.01902026,0.01973366,0.01078215,0.02509682,0.0331484,0.04526842,0.002218168,0.03798851,0.004988691,0.002034343,0.04022006,0.05817742,0.03990478,0.01112976,0.02617275,0.01950474,0.03953093,,0.04327959,0.02762838,0.02762838,0.0385281,,0.0246321,0.004471699,0.000969261,0.002381604,0.002824624,0.02947324,0.00939879,0.000960908,0.000959342,0.003983757,0.000827967,,,,,,,,0.000140672,,,,,,,,,3.61E-05,,,,0.000479836,,0.000100948,,0.000100349
53,Reef omnivores,0.0023096,,,0.001118562,,0.00102519,0.01052282,0.01367014,0.01098123,0.005988586,,0.0179762,0.007510729,0.000165005,0.00894744,0.01002963,0.01200967,0.001340278,0.001971195,0.01708082,,0.00168385,,0.003209998,0.002015743,0.04295518,0.01262236,0.02571968,0.007612211,0.04082214,0.005049444,0.03858845,,0.002015283,0.002755641,0.002755641,0.006639749,,0.002539822,0.007520444,0.002383775,0.001009532,0.001594168,,0.009007174,0.000960908,0.000959342,0.00391087,,0.009443407,,,,,,,,,,,,,,,,0.000127987,,,,,,,,
54,Surface pelagics,0.055,0.06,,0.02456311,,0.00863223,0.009480022,0.01237938,0.009982079,0.01647717,,,0.02329042,0.002264141,0.03909546,0.01190328,0.009995695,0.04995644,0.00439936,,,0.02831506,,0.05870887,0.000433294,,,,,,,,,,,,,,,0.03349124,0.0024053,0.00276524,0.03275973,0.03174835,0.03691357,0.000960908,0.000959342,,0.000827967,,0.03093182,,,0.005714117,,,0.001406718,,,,,,,,,,,,,,,,,
55,Large oceanic planktivores,,,,,,,,,0.001619125,0.001341228,,,0.006025706,,0.007414793,0.008995013,,0.000120615,,,,,,,,,,,,,,,,,,,,,,,,,0.00014492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Oceanic planktivores,0.021726,0.0055,0.005,0.002263936,0.01863135,0.006889,0.000558819,0.000632565,0.01126348,0.007523792,,,0.09855881,0.001674133,0.02183459,0.009308122,0.02058892,0.001724286,0.02124802,,0.006785966,,,,0.000194217,,,,,,,,,,0.001916418,0.001916418,0.003079304,,,,,,0.01453578,0.001762958,0.009929355,0.000960908,0.000959342,,,0.004379551,,,,,0.1168131,0.00029012,0.000140672,,,,,,,,,,,,,,,,,
57,Sardine-herring-scad,0.08417,0.065,0.002,0.08343118,0.02132693,0.06408837,0.03502677,0.02811592,0.0228663,0.0233992,0.06905183,0.05140208,0.02047406,0.009699363,0.06534381,0.02116361,0.01824925,0.07728104,0.248397,0.06531132,0.0745792,0.1075993,0.04370009,0.1367548,0.03204011,0.05820709,0.1826738,0.08491711,0.08515214,0.09788175,0.05982414,0.0374035,0.04990809,0.08250155,0.03769114,0.04669114,0.08410427,0.01791944,0.01186038,0.09678735,0.07096566,0.07893756,0.0629683,0.06424881,0.1129271,0.002021816,0.000959342,,0.000827967,0.01505471,,0.001180337,,0.02558786,,,1.41E-05,,,,,,,,,0.00186,,,,0.005298186,,,,
58,Menhaden (0yr),,,,0.0448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0165688,0.03764474,0.03873598,,0.03134155,,,0.000574536,0.05273276,0.000495858,,,,,,,,,,,,,,,,,,,,,,,,,
59,Menhaden (1yr),0.0456,,,0.0503292,0.00240419,0.06912159,0.01622233,0.02393864,0.01205335,,0.03370708,0.02292318,,,0.004219862,,,0.0334,0.009326883,0.01747302,0.1511869,0.0651,0.1431409,0.0821,,0.02823053,0.03880066,,,,,,,,,,,,,0.007632074,0.04673398,0.05677601,0.007877418,0.01443684,,,0.000264648,0.07129025,0.000228407,,,,,,,,,,,,,,,,,,,,,,,,,
60,Menhaden (2yr),0.0574,,,0.03103009,0.001033676,0.04911972,0.006974756,0.01029237,0.03018231,0.009871806,0.03910244,0.009855772,0.009712147,0.002864924,0.00181432,0.01540411,0.01213024,0.04006,0.004010073,0.01051249,0.1049061,0.07733,0.1121447,0.0556,,0.01213766,0.03668226,,,,,,,,,,,,,0.003281394,0.03547495,0.04693017,0.003386879,0.006207087,,,0.000113785,0.04044354,9.82E-05,,,,,,,,,,,,,,,,,,,,,,,,,
61,Menhaden (3yr),0.0351364,,,0.02374072,5.34E-05,0.02291947,0.000360614,0.000532143,0.0027939,0.000510399,0.02682602,0.00050957,0.000502144,0.000148124,9.38E-05,0.000744731,0.000627166,0.02022483,0.00207332,0.00388416,0.07780474,0.0527825,0.09862589,0.04924453,,0.00062755,0.0162518,,,,,,,,,,,,,0.000169657,0.011307,0.0200284,0.000175111,0.000320923,,,5.88E-06,0.0239959,5.08E-06,,,,,,,,,,,,,,,,,,,,,,,,,
62,Menhaden (4yr),4.92E-05,,,0.00022792,4.44E-06,0.00908072,3.00E-05,4.43E-05,0.000222821,4.24E-05,5.68E-05,4.24E-05,4.18E-05,1.23E-05,7.80E-06,6.19E-05,5.22E-05,3.03E-05,1.72E-05,3.23E-05,0.05015009,0.067,0.04513521,0.0338459,,5.22E-05,0.004,,,,,,,,,,,,,1.41E-05,2.35E-05,2.36E-05,1.46E-05,2.67E-05,,,4.89E-07,0.021,4.22E-07,,,,,,,,,,,,,,,,,,,,,,,,,
63,Anchovy-silverside-killifish,0.088713,0.05,0.002,0.08112463,0.02214766,0.05026945,0.02277499,0.03633759,0.02806952,0.012141,0.04493844,0.0348095,0.009978795,0.002418848,0.06513981,0.01949951,0.01417694,0.04835133,0.09306175,0.0396858,0.1342978,0.07825864,0.1896545,0.1522435,0.0329299,0.0533877,,0.0187594,,0.05081875,,0.03747918,0.03893157,0.05600352,0.04187994,0.05187994,0.04563853,,0.02491626,0.05701132,0.07042531,0.09923892,0.05481953,0.04874038,0.06737133,0.000960908,0.000959342,0.08990999,0.000827967,,,0.001180337,,0.03351985,,,0.001406718,,,,,,0.0001,,,0.02900341,,,,0.004298529,,,,
64,Mullet,0.047592,,,0.01408314,0.01939757,0.0187024,0.02294466,0.001087221,0.01360145,0.006112269,0.05147719,0.01747485,0.001127965,0.001731262,0.008419894,0.01200918,,0.01211816,0.0471927,0.01557126,0.01585143,0.004083808,0.002138011,0.01563404,0.001996833,,0.03338059,,,,,0.03791906,,,,,,,0.02034562,0.00822557,0.01006172,0.005056349,0.01670101,0.02681088,0.0307562,,0.000959342,0.01338331,,,,,,,,,,,,,,,,,,,,,,0.000169942,,,,
65,Butterfish,0.030336,0.029336,0.02,0.02067194,0.001617195,0.01463021,0.009962058,0.01296273,0.01025335,0.005835252,0.004294655,0.01736776,0.006374091,0.002787459,0.01431581,0.01027827,0.01154243,0.01660358,0.001414118,0.0159978,0.03249704,0.03653592,0.0452421,0.02302825,0.000196992,,,,,,,,0.05876876,,0.02629035,0.02629035,0.004763298,,0.002705477,0.003242928,,,0.0151388,0.02652116,,,0.000959342,,,0.006774618,,,,,,,,,,,,,,,,,,,,,,,,
