unit_id,legacy_headline_median_tC_yr,legacy_scaled_median_tC_yr,annual_median_tC_yr,antoinemorel_relative_difference_vs_scaled,vgpm_relative_difference_vs_scaled,eppley_relative_difference_vs_scaled,cbpm_relative_difference_vs_scaled,cafe_relative_difference_vs_scaled,median_relative_difference_vs_scaled,median_percent_change_vs_legacy_headline,note
LME_034,973683756.8091958,1061393189.7977164,1061393189.7977166,2.2462795257523843e-16,5.343425133266742e-16,3.4847586217441704e-16,4.1134684155658645e-16,3.489902967178155e-16,2.2462795257523843e-16,9.008000017988227,
LME_035,128812106.33499031,149162149.72904924,149162149.72904924,0.0,0.0,0.0,0.0,0.0,0.0,15.798238203741777,
LME_036,752820479.1139787,839939773.341587,839939773.3415867,-2.838519935221622e-16,-2.0930942811132253e-16,-1.1406695286982675e-16,-1.3765689623097457e-16,-4.0587138561011013e-16,-2.838519935221622e-16,11.572386331750927,
LME_037,212402321.55372748,259123010.6288906,259123010.62889066,2.2890253374314935e-16,1.9916622603337966e-16,3.976928950183527e-16,2.3002451473039916e-16,2.7316163092749837e-16,2.3002451473039916e-16,21.996317522991447,
LME_038,657097576.2168155,749758870.0793715,749758870.0793715,0.0,0.0,0.0,0.0,0.0,0.0,14.101603356391257,
LME_039,307112833.06899595,343801683.684613,343801683.684613,0.0,-1.2641237338164967e-16,-4.000938765396078e-16,0.0,-1.9804798875801904e-16,0.0,11.946374968764184,
LME_040,220292913.00662673,235190885.5526628,235190885.5526628,0.0,1.698673737256709e-16,-1.2147096398039664e-16,-2.254195103482467e-16,-2.582167067323932e-16,0.0,6.762801554849807,
LME_041,110014678.31066136,116192217.50230382,116192217.5023038,1.3910499370574618e-16,-2.564915536370102e-16,-5.716564787580371e-16,0.0,-6.054362413075305e-16,-2.564915536370102e-16,5.615195432556908,
LME_042,227101484.3920486,239703889.42172676,239703889.42172652,-1.580611304593979e-16,-4.103590269428462e-16,-6.47573811042555e-16,-8.697484975814477e-16,-9.946379246358288e-16,-9.946379246358288e-16,5.549239391109495,
LME_043,171719474.4466026,184009099.11049473,184009099.11049485,5.326494274294877e-16,6.208820018819824e-16,9.686176971012955e-16,6.213661802495503e-16,6.478445366399944e-16,6.478445366399944e-16,7.156803096153075,
LME_044,100103834.63881801,107895687.49755985,107895687.49755982,-2.762142128096576e-16,-1.2735560803915864e-16,0.0,-1.8377454947770725e-16,-4.20289197547904e-16,-2.762142128096576e-16,7.783770608643903,
LME_045,231703362.09670502,255910178.35612905,255910178.35612905,0.0,3.666244267018369e-16,2.1154629451595323e-16,0.0,0.0,0.0,10.44733060425811,
LME_046,182066721.31776568,196229429.07457197,196229429.074572,4.99749712278688e-16,4.4109777676594774e-16,6.788809233080396e-16,0.0,1.5187488710661082e-16,1.5187488710661082e-16,7.77885582510589,
