taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Sepia,Sepia cuttlefishes,Cephalopods,Other fishes & inverts,,,,,
Clupeidae,"Herrings, sardines, menhadens",Small pelagics (<30 cm),Herring-likes,,,,,
Scombridae,"Mackerels, tunas, bonitos",Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,,,,,
Polydactylus quadrifilis,Giant African threadfin,Large demersals (>=90 cm),Perch-likes,,,,,
Thunnus obesus,Bigeye tuna,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Mugilidae,"Mullets, grey mullets",Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Polynemidae,Threadfins,Small demersals (<30 cm),Perch-likes,,,,,
Balistidae,Triggerfishes,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts,,,,,
Nematocarcinus africanus,African spider shrimp,Shrimps,Crustaceans,,,,,
Haemulidae,"Grunts, sweetlips, bonnetmouths",Medium demersals (30 - 89 cm),Perch-likes,,,,,
Cynoglossus,Tonguesoles,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Ilisha africana,West African ilisha,Medium pelagics (30 - 89 cm),Herring-likes,,,,,
Lutjanidae,Snappers,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Cynoglossus monodi,Guinean tonguesole,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Rachycentron canadum,Cobia,Large pelagics (>=90 cm),Perch-likes,,,,,
Perciformes,Perch-likes,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Caranx crysos,Blue runner,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Scombroidei,"Tunas, bonitos, billfishes",Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Engraulidae,"Anchovies, round herrings",Small pelagics (<30 cm),Anchovies,,,,,
Auxis rochei,Bullet tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,,,,,
Diplodus,Two-toothed seabreams,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Dentex,Toothed seabreams,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Dendrobranchiata,Shrimps and prawns,Shrimps,Crustaceans,,,,,
Penaeus notialis,Southern pink shrimp,Shrimps,Crustaceans,,,,,
Sparidae,"Porgies, seabreams",Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Trachurus trecae,Cunene horse mackerel,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Penaeidae,Commercial shrimps and prawns,Shrimps,Crustaceans,,,,,
Pomadasys,Grunters,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Sphyraenidae,Barracudas,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Sarda sarda,Atlantic bonito,Medium pelagics (30 - 89 cm),Tuna & billfishes,,,,,
