taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Sparidae,Côtier L pred | Côtier M inv | Côtier S inv | Dem L inv | Dem L pred | Dem M inv | Dem M pred | Mulets,0.248769 | 0.241239 | 0.275313 | 0.006475 | 0.048574 | 0.155087 | 0.012278 | 0.012265,catch_composition,medium,527424.207,163.765772,343.374372,327.685675,2587.493271,1882.910333,2999.970222,2616.221422,5704.243074,5704.243074,5704.243074,2165.413524,762.738313,5704.243074,-20186.882349,2165.413524,2167.218492,762.738313,-119519.957385,2386.389696,6150.078953,201.625568,1099.763793
Trachurus trecae,Pel S inv,1.000000,single,high,515245.374,163.765772,157.970864,152.088101,577.271661,239.810236,250.631699,247.597025,317.630863,317.630863,317.630863,109.892321,46.754763,317.630863,317.632445,109.892321,109.904682,46.754763,-281.147296,116.066511,339.622882,102.369618,312.790013
Penaeidae,Crustacés,1.000000,single,high,511079.609,163.765772,79.649220,77.077782,199.420396,94.919134,94.919134,90.173177,135.651174,135.651174,135.651174,112.097094,63.654470,135.651174,135.651174,112.097094,112.118405,63.654470,-691.708697,122.926325,140.897505,54.734450,122.753568
Pomadasys,Côtier M inv,1.000000,single,medium,478930.316,163.765772,170.837609,164.379174,573.174129,332.812451,332.812451,331.190423,425.732264,425.732264,425.732264,368.426453,198.243136,425.732264,425.732264,368.426453,368.498294,198.243136,-2197.047861,402.613215,447.451967,109.967259,314.242463
Sphyraenidae,Côtier pel L pred,1.000000,single,medium,464213.477,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Sarda sarda,Thons mineurs,1.000000,single,high,446613.688,163.765772,1395.634937,1321.894731,9241.412090,2965.086479,2997.818641,1727.313722,4278.698550,4278.698550,4278.698550,1413.607110,516.926347,4278.698550,4279.691205,1413.607110,1414.299730,516.926347,-5162.630056,1554.151413,4550.096146,750.381718,3860.227378
Dasyatidae,Sélaciens L côtiers | Sélaciens M côtiers,0.934144 | 0.065856,catch_composition,medium,435963.098,163.765772,1153.061509,1093.701635,25164.033475,57150.226233,51505.775538,45688.726754,137125.897636,137125.897636,137125.897636,26241.404233,7002.787354,137125.897636,-312100.909077,26241.404233,26278.419722,7002.787354,-704949.706355,29402.154661,154801.497935,630.181807,8899.834730
Pteroscion peli,Côtier S pred,1.000000,single,high,422411.1,163.765772,545.757696,520.573184,4917.222698,1275.451871,1276.085900,1149.773886,1835.857966,1835.857966,1835.857966,1067.675983,415.503270,1835.857966,1836.591100,1067.675983,1068.391396,415.503270,-4249.608379,1177.743138,1944.131304,318.019746,2089.141318
Sarotherodon galilaeus,Unresolved,,,unresolved,405273.308,,,,,,,,,,,,,,,,,,,,,,
Pseudotolithus senegalensis,Bars,1.000000,single,high,403396.237,163.765772,765.126208,727.972559,3298.268004,1392.366618,1698.422161,1593.296173,2935.678026,2935.678026,2935.678026,1750.560310,663.608554,2935.678026,-12167.664034,1750.560310,1751.311377,663.608554,-129143.724965,1958.685751,3084.917054,433.124819,1494.315020
Parapenaeus longirostris,Crustacés,1.000000,single,high,400810.411,163.765772,79.649220,77.077782,199.420396,94.919134,94.919134,90.173177,135.651174,135.651174,135.651174,112.097094,63.654470,135.651174,135.651174,112.097094,112.118405,63.654470,-691.708697,122.926325,140.897505,54.734450,122.753568
Caranx hippos,Côtier pel L pred,1.000000,single,high,391862.704,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Marine pelagic fishes not identified,Côtier pel L pred | Côtier pel S inv | Pel L pred | Pel S inv,0.189257 | 0.673180 | 0.003204 | 0.134358,catch_composition,low,388990.858,163.765772,266.575744,254.175111,2537.119752,1357.747616,1596.011247,1526.219920,2851.767602,2851.767602,2851.767602,1260.045156,410.800239,2851.767602,-10978.789244,1260.045156,1260.840062,410.800239,-55673.207365,1396.207232,3083.639574,155.290958,1028.793367
Pentheroscion mbizi,Unresolved,,,unresolved,372671.569,,,,,,,,,,,,,,,,,,,,,,
Pentanemus quinquarius,Capitaine royal,1.000000,single,high,371053.828,163.765772,672.707643,640.659692,2114.203097,1064.720980,1065.683560,1012.399382,1453.039438,1453.039438,1453.039438,1093.569010,480.845954,1453.039438,-277697.534380,1093.569010,1094.410510,480.845954,-1079545.542006,1199.786342,1524.681825,385.032378,1049.869915
Caranx,Côtier pel L pred,1.000000,single,medium,355589.5,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Carlarius heudelotii,Mâchoiron,1.000000,single,high,347179.801,163.765772,446.273553,426.322511,2287.433385,1227.287784,1227.860250,1177.635118,1664.247716,1664.247716,1664.247716,1262.754118,551.933890,1664.247716,12628.150861,1262.754118,1263.532375,551.933890,-515946.368073,1387.599918,1742.106202,264.572656,1050.626857
Scomber,Pel S inv,1.000000,single,medium,346215.466,163.765772,157.970864,152.088101,577.271661,239.810236,250.631699,247.597025,317.630863,317.630863,317.630863,109.892321,46.754763,317.630863,317.632445,109.892321,109.904682,46.754763,-281.147296,116.066511,339.622882,102.369618,312.790013
Pagellus bellottii,Dem M inv,1.000000,single,high,335354.527,163.765772,172.485056,165.952401,511.347723,706.004578,706.004578,670.704349,890.128168,890.128168,890.128168,735.262371,400.351586,890.128168,890.128168,735.262371,735.404934,400.351586,-4414.739474,805.768964,945.574586,110.936439,283.976950
Pagrus,Dem L pred,1.000000,single,medium,329079.849,163.765772,702.924270,669.216325,8905.495621,6777.626749,6838.543559,5761.940280,11046.542562,11046.542562,11046.542562,5782.706959,2043.803180,11046.542562,11049.934606,5782.706959,5785.889350,2043.803180,-21771.784771,6494.006214,12063.058581,400.815207,3457.571618
Pomadasys jubelini,Côtier M inv,1.000000,single,high,321432.033,163.765772,170.837609,164.379174,573.174129,332.812451,332.812451,331.190423,425.732264,425.732264,425.732264,368.426453,198.243136,425.732264,425.732264,368.426453,368.498294,198.243136,-2197.047861,402.613215,447.451967,109.967259,314.242463
Auxis thazard,Thons mineurs,1.000000,single,high,316019.443,163.765772,1395.634937,1321.894731,9241.412090,2965.086479,2997.818641,1727.313722,4278.698550,4278.698550,4278.698550,1413.607110,516.926347,4278.698550,4279.691205,1413.607110,1414.299730,516.926347,-5162.630056,1554.151413,4550.096146,750.381718,3860.227378
Elops lacerta,Côtier pel L pred,1.000000,single,high,305343.546,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Pseudotolithus typus,Bars,1.000000,single,high,303874.133,163.765772,765.126208,727.972559,3298.268004,1392.366618,1698.422161,1593.296173,2935.678026,2935.678026,2935.678026,1750.560310,663.608554,2935.678026,-12167.664034,1750.560310,1751.311377,663.608554,-129143.724965,1958.685751,3084.917054,433.124819,1494.315020
Octopus vulgaris,Céphalopodes,1.000000,single,high,299194.624,163.765772,822.926928,782.539200,2911.873630,776.133746,776.133746,737.327059,1169.062418,1169.062418,1169.062418,633.532727,262.848004,1169.062418,1169.126090,633.532727,633.690429,262.848004,-2693.977387,696.074883,1245.601022,462.946606,1388.475781
Lutjanus,Côtier L pred,1.000000,single,medium,281553.855,163.765772,834.792702,793.737434,7076.977860,5090.744396,9568.388961,8272.995088,19279.704720,19279.704720,19279.704720,6360.723192,2029.298348,19279.704720,-84799.195448,6360.723192,6366.230780,2029.298348,-469234.864873,6996.154043,20790.115719,469.046047,2908.726875
Drepane africana,Disques,1.000000,single,high,280288.367,163.765772,207.066169,198.951082,810.558710,761.664235,761.664235,671.116476,999.277695,999.277695,999.277695,721.713757,355.189635,999.277695,999.277695,721.713757,721.845766,355.189635,-3723.200094,792.813899,1031.425091,131.108660,435.067525
Scomber colias,Pel S inv,1.000000,single,medium,261950.127,163.765772,157.970864,152.088101,577.271661,239.810236,250.631699,247.597025,317.630863,317.630863,317.630863,109.892321,46.754763,317.630863,317.632445,109.892321,109.904682,46.754763,-281.147296,116.066511,339.622882,102.369618,312.790013
Epinephelus,Côtier L pred | Dem L pred,0.836641 | 0.163359,catch_composition,medium,249491.397,163.765772,813.250765,773.395751,7375.683268,5366.312340,9122.443288,7862.790897,17934.740996,17934.740996,17934.740996,6266.298856,2031.667848,17934.740996,-69141.347292,6266.298856,6271.426602,2031.667848,-396137.602958,6914.123518,19364.469650,457.899904,2998.385776
Trachurus trachurus,Pel S inv,1.000000,single,medium,241304.47,163.765772,157.970864,152.088101,577.271661,239.810236,250.631699,247.597025,317.630863,317.630863,317.630863,109.892321,46.754763,317.630863,317.632445,109.892321,109.904682,46.754763,-281.147296,116.066511,339.622882,102.369618,312.790013
Argyrosomus regius,Côtier L pred,1.000000,single,high,239356.238,163.765772,834.792702,793.737434,7076.977860,5090.744396,9568.388961,8272.995088,19279.704720,19279.704720,19279.704720,6360.723192,2029.298348,19279.704720,-84799.195448,6360.723192,6366.230780,2029.298348,-469234.864873,6996.154043,20790.115719,469.046047,2908.726875
Scyris alexandrina,Côtier pel L pred,1.000000,single,high,237360.082,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Squalidae,Sélaciens L prof | Sélaciens M prof,0.809726 | 0.190274,catch_composition,medium,236585.885,163.765772,2943.265798,2772.195440,30340.406421,106443.472380,110085.487319,55042.743660,519045.522015,519045.522015,519045.522015,43711.326429,11190.605350,519045.522015,-1134636.932488,43711.326429,43730.559477,11190.605350,-815704.522352,49790.245909,628102.100763,1484.415879,10771.970491
