printed_name,accepted_name,group_name,source_page
Hemiramphus,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Hemiramphus,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Decapoda,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Decapoda,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Hexanchus griseus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 38"
Decapterus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Decapterus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Decapterus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Hilsa kelee,,2-3 Hilsa,"Guenette (2013) Appendix A1.1, p. 38"
Decapterus russelli,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Decapterus russelli,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Decapterus russelli,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Himantura,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 38"
Diodon,,2 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 38"
Diodon,,3 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 38"
Holocentridae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Holocentridae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Holocentridae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Holocentridae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Holocentridae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Holocentridae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Drepane,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Drepane,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Drepane,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Holothuria atra,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuria atra,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuria atra,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Drepane punctata,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Drepane punctata,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Drepane punctata,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Holothuria edulis,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuria edulis,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuria edulis,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Dussumieria,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Dussumieria,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Dussumieria,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Holothuriidae,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuriidae,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuriidae,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Dussumieria elopsoides,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Dussumieria elopsoides,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Dussumieria elopsoides,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Holothuroidea,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuroidea,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Holothuroidea,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Hyporhamphus,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Hyporhamphus,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Hyporhamphus,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Homaridae and Palinuridae,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Homaridae and Palinuridae,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Ilisha elongata,,2-3 Hilsa,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus gibbus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus gibbus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus gibbus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Istiompax indica,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus johnii,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus johnii,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus johnii,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Istiophoridae,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus lutjanus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus lutjanus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus lutjanus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Istiophorus,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus malabaricus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus malabaricus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Lutjanus malabaricus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Istiophorus platypterus,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 38"
Macolor macularis,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Macolor macularis,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Macolor macularis,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Isurus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 39"
Macolor niger,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Macolor niger,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Macolor niger,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Isurus oxyrinchus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 39"
Makaira,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 39"
Isurus paucus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 39"
Makaira indica,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 39"
Isurus spp,Isurus,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 39"
Makaira mazara,,Marlins,"Guenette (2013) Appendix A1.1, p. 39"
Kajikia audax,,Marlins,"Guenette (2013) Appendix A1.1, p. 39"
Makaira nigricans,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 39"
Katsuwonus pelamis,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 39"
Kawakawa,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 39"
Labridae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Labridae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Labridae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Marsupenaeus japonicus,Penaeus japonicus,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Marsupenaeus japonicus,Penaeus japonicus,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Lactarius lactarius,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 39"
Lactarius lactarius,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 39"
Lactarius lactarius,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 39"
Megalaspis cordyla,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 39"
Megalaspis cordyla,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 39"
Megalaspis cordyla,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 39"
Lambis lambis,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Lambis lambis,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Lambis lambis,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Megalops cyprinoides,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Megalops cyprinoides,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Megalops cyprinoides,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Lamma nasus,Lamna nasus,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 39"
Melicertus latisulcatus,Penaeus latisulcatus,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Melicertus latisulcatus,Penaeus latisulcatus,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Lamnidae,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 39"
Meretrix,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Meretrix,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Meretrix,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Lamniformes,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 39"
Lamniformes,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 39"
Metapenaeus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Metapenaeus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Lates calcarifer,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Lates calcarifer,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Lates calcarifer,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Metapenaeus monoceros,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Metapenaeus monoceros,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Latidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Latidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Latidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous aquatic invertebrates,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous aquatic invertebrates,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous aquatic invertebrates,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Leiognathidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Leiognathidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Leiognathidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous crustaceans,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous crustaceans,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Leiognathus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Leiognathus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Leiognathus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinidae,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinidae,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinidae,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous marine crustaceans,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous marine crustaceans,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous marine molluscs,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous marine molluscs,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous marine molluscs,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus harak,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus harak,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus harak,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous molluscs,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous molluscs,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous molluscs,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus microdon,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus microdon,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus microdon,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous shrimps,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Miscellaneous shrimps,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus nebulosus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus nebulosus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus nebulosus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Modiolus,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Modiolus,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Modiolus,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus olivaceus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus olivaceus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus olivaceus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Monacanthidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Monacanthidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Monacanthidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus rubrioperculatus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus rubrioperculatus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus rubrioperculatus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Mugil,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Mugil,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Mugil,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus xanthochilus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus xanthochilus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lethrinus xanthochilus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Mugilidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Mugilidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Mugilidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Liza,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Liza,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Liza,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Mullidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Mullidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Mullidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Lobotes surinamensis,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Lobotes surinamensis,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Lobotes surinamensis,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesocidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesocidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesocidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Loliginidae,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesox,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesox,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesox,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Loligo,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesox cinereus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesox cinereus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Muraenesox cinereus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Loligonidae,Loliginidae,Cephalopods,"Guenette (2013) Appendix A1.1, p. 39"
Myliobatidae,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanidae,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanidae,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanidae,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus bohar,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus bohar,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus bohar,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Nemipteridae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Nemipteridae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Nemipteridae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus argentimaculatus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus argentimaculatus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Lutjanus argentimaculatus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Nemipterus,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Nemipterus,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Nemipterus,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Netuma thalassina,,2 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 39"
Netuma thalassina,,3 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 39"
Nemipterus japonicus,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Nemipterus japonicus,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Nemipterus japonicus,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Octopoda,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 39"
Plectropomus laevis,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Plectropomus laevis,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Plectropomus laevis,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Octopodidae,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 39"
Plectropomus pessuliferus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Plectropomus pessuliferus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Plectropomus pessuliferus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Octopus,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 39"
Pleuronectidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Pleuronectidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Pleuronectidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 39"
Octopus vulgaris,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 39"
Otolithoides,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Otolithoides,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Otolithoides,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 39"
Plotosidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Plotosidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Plotosidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Palaemonidae,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Palaemonidae,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Plotosus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Plotosus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Plotosus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Palinuridae,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Palinuridae,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 39"
Polynemidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Polynemidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Polynemidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 39"
Polynemidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Polynemidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Polynemidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 39"
Palinurus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Palinurus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Polynemus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Polynemus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Polynemus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Polynemus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Polynemus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Polynemus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pomacentridae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pomacentridae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pomacentridae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus argenteus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus argenteus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus argenteus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pomadasys,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pomadasys,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pomadasys,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pampus chinensis,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus chinensis,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pampus chinensis,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Pomadasys argenteus,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pomadasys argenteus,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pomadasys argenteus,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Portunidae,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Portunidae,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus homarus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus homarus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Portunus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Portunus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus longipes,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus longipes,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Portunus pelagicus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Portunus pelagicus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus penicillatus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus penicillatus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Priacanthus,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Priacanthus,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Priacanthus,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus polyphagus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus polyphagus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Prionace glauca,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus versicolor,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Panulirus versicolor,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Pristipomoides,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pristipomoides,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pristipomoides,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Paphia,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Paphia,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Paphia,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Psettodes erumei,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Psettodes erumei,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Psettodes erumei,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Parapenaeopsis,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Parapenaeopsis,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Psettodidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Psettodidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Psettodidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Parapenaeopsis hardwickii,Mierspenaeopsis hardwickii,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Parapenaeopsis hardwickii,Mierspenaeopsis hardwickii,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Pseudocarcharias kamoharai,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 40"
Parapenaeopsis sculptilis,Mierspenaeopsis sculptilis,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Parapenaeopsis sculptilis,Mierspenaeopsis sculptilis,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Pseudorhombus,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pseudorhombus,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pseudorhombus,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Parastromateus niger,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Parastromateus niger,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Parastromateus niger,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Pseudotolithus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pseudotolithus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
