taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Pandalus goniurus,Crabs and shrimps,1.000000,single,high,15375.262,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Clupeiformes,Unresolved,,,unresolved,15329.051,,,,,,,,,,,,,,,,,,,,
Thunnus orientalis,Unresolved,,,unresolved,14163.266,,,,,,,,,,,,,,,,,,,,
Chionoecetes japonicus,Crabs and shrimps,1.000000,single,high,10728.234,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Ommastrephidae,Squids,1.000000,single,high,10608.624,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,147.581283,273.218985
Sebastolobus alascanus,Other bottom fishes,1.000000,single,medium,10295.909,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Octopus,Carnivorous invertebrates,1.000000,single,low,9517.895,0.000000,100.000000,27.878664,27.878664,35.331730,35.331730,28.654033,33.321302,33.321302,34.061672,17.349743,10.872137,34.061672,33.321302,17.349743,17.349743,10.872137,10.872137,21.371774,35.712118
Pandalus hypsinotus,Crabs and shrimps,1.000000,single,high,9106.644,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Squillidae,Carnivorous invertebrates,1.000000,single,medium,7636.511,0.000000,100.000000,27.878664,27.878664,35.331730,35.331730,28.654033,33.321302,33.321302,34.061672,17.349743,10.872137,34.061672,33.321302,17.349743,17.349743,10.872137,10.872137,21.371774,35.712118
Elasmobranchii,Unresolved,,,unresolved,7581.252,,,,,,,,,,,,,,,,,,,,
Trachurus,Unresolved,,,unresolved,7260.354,,,,,,,,,,,,,,,,,,,,
Haliotidae,2nd level benthos,1.000000,single,medium,6619.166,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Corbicula japonica,2nd level benthos,1.000000,single,medium,5637.236,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Gadiformes,Walleye pollock | Juv. pollock | Other Gadidae | Other bottom fishes,0.457064 | 0.391320 | 0.056510 | 0.095106,model_biomass,low,5635.112,0.000000,470.914871,85.304688,155.449540,1205.667083,1311.050914,974.992515,-24066.505507,-24066.505507,-24464.996296,2307.120661,480.506357,-24464.996296,-24066.505507,2307.120661,2307.120661,480.506357,480.506357,5620.573617,95713.698364
Lycodes,Other bottom fishes,1.000000,single,medium,3135.817,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Actinopterygii,Other bottom fishes | Other Gadidae | Cottidae | Pleuronectidae,0.379682 | 0.474172 | 0.000000 | 0.146146,catch_composition,low,2973.471,0.000000,543.741533,93.693872,233.024916,3717.037561,4576.955710,1766.478285,-220473.706559,-220473.706559,-224113.066944,9426.429819,1064.654543,-224113.066944,-220473.706559,9426.429819,9426.429819,1064.654543,1064.654543,33749.645741,782832.189582
Miscellaneous aquatic invertebrates,2nd level benthos | Carnivorous invertebrates,0.783853 | 0.216147,catch_composition,low,2838.35,0.000000,29.453200,10.164646,10.164646,10.971317,10.971317,7.910732,10.347032,10.347032,10.576934,5.769085,3.931470,10.576934,10.347032,5.769085,5.769085,3.931470,3.931470,7.075540,10.914750
Erimacrus isenbeckii,Crabs and shrimps,1.000000,single,high,2478.101,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Mytilidae,2nd level benthos,1.000000,single,medium,2356.585,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Penaeus chinensis,Crabs and shrimps,1.000000,single,high,2182.088,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Congridae,Unresolved,,,unresolved,2037.747,,,,,,,,,,,,,,,,,,,,
Serranidae,Unresolved,,,unresolved,2017.182,,,,,,,,,,,,,,,,,,,,
Synodontidae,Unresolved,,,unresolved,1936.137,,,,,,,,,,,,,,,,,,,,
Perciformes,Unresolved,,,unresolved,1596.923,,,,,,,,,,,,,,,,,,,,
Ommastrephes bartramii,Squids,1.000000,single,high,1468.252,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,147.581283,273.218985
Sclerocrangon,Crabs and shrimps,1.000000,single,high,1370.09,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Mugilidae,Unresolved,,,unresolved,1185.585,,,,,,,,,,,,,,,,,,,,
Hexagrammos otakii,Other bottom fishes,1.000000,single,medium,1141.535,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Hexagrammidae,Other bottom fishes,1.000000,single,medium,964.047,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Marine pelagic fishes not identified,Unresolved,,,unresolved,743.317,,,,,,,,,,,,,,,,,,,,
