model_id,fraction,donor_group_id,offal_group_id,donor_to_offal,offal_to_pelagic,offal_to_benthic
13_2_Northern_Humboldt_Current_(1995-1998),1.0,13,37,0.0354708445375,0.00354708445375,0.031923760083749995
13_2_Northern_Humboldt_Current_(1995-1998),1.0,14,37,1.689793515,0.1689793515,1.5208141635
13_2_Northern_Humboldt_Current_(1995-1998),1.0,15,37,1.7465229457,0.17465229457,1.57187065113
13_2_Northern_Humboldt_Current_(1995-1998),1.0,16,37,0.7426541746,0.07426541746000001,0.66838875714
13_2_Northern_Humboldt_Current_(1995-1998),1.0,17,37,0.3338190135,0.03338190135,0.30043711215
13_2_Northern_Humboldt_Current_(1995-1998),1.0,18,37,1.1659147664,0.11659147664000001,1.04932328976
13_2_Northern_Humboldt_Current_(1995-1998),1.0,19,37,0.048676,0.0048676,0.0438084
13_2_Northern_Humboldt_Current_(1995-1998),1.0,20,37,0.04633476287999999,0.004633476287999999,0.041701286591999995
13_2_Northern_Humboldt_Current_(1995-1998),1.0,21,37,0.004058227155,0.00040582271550000003,0.0036524044395
13_2_Northern_Humboldt_Current_(1995-1998),1.0,22,37,0.019339230299999996,0.0019339230299999996,0.017405307269999996
13_2_Northern_Humboldt_Current_(1995-1998),1.0,23,37,0.040511636700000006,0.004051163670000001,0.03646047303000001
13_2_Northern_Humboldt_Current_(1995-1998),1.0,26,37,0.1495674495,0.014956744950000002,0.13461070455000002
13_2_Northern_Humboldt_Current_(1995-1998),1.0,27,37,0.06129891195000001,0.006129891195000001,0.055169020755000006
13_2_Northern_Humboldt_Current_(1995-1998),1.0,29,37,0.33977100000000005,0.0339771,0.30579390000000006
13_2_Northern_Humboldt_Current_(1995-1998),1.0,30,37,0.01439636145,0.001439636145,0.012956725305000001
