model_id,route,fraction,group_id,production,consumption,predation,mortality,egestion,respiration,harvest,accumulation,migration,group_name,external_loss,designated_discard,retained,fishery_catch,explicit_discard_return,ee,production_residual,consumption_residual,discard_return_external,engine_name_original
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,12,0.1683,3.2405399999999998,0.030374940659340658,0.109395,0.648108,2.4241319999999997,0.0,0.02853005934065934,0.0,Other Gadidae,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,11,0.8004,6.209770000000001,0.6382082472527473,0.15047519999999995,1.2419540000000002,4.167416000000001,0.0,0.011716552747252806,0.0,Pacific Sardine,0.0,0.0,0.0,0.0,0.0,0.812,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,10,5.16,46.44,4.0557815323387425,1.0268399999999998,9.288,31.992,0.0,0.07737846766125767,0.0,Capelin,0.0,0.0,0.0,0.0,0.0,0.801,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,9,1.029,1.6096499999999998,0.28157772227772226,0.717213,0.32193,0.2587199999999999,0.0,0.03020927772227766,0.0,Salmon,0.0,0.0,0.0,0.0,0.0,0.30299999999999994,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,8,0.64622,7.901879999999999,0.47416224044604044,0.12472045999999996,1.580376,5.675283999999999,0.0,0.047337299553959655,0.0,Pacific herring,0.0,0.0,0.0,0.0,0.0,0.807,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,7,1.1654500000000003,26.063700000000004,1.1175681813654235,0.0,5.212740000000001,19.685510000000004,0.0,0.047881818634576856,0.0,Juv. pollock,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,6,1.36125,24.75,0.7360159832034054,0.004083750000000004,4.95,18.438750000000002,0.0,0.6211502667965947,0.0,Walleye pollock,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,5,0.0016500000000000002,0.45815,0.0,0.0016500000000000002,0.09163,0.36487,0.0,0.0,0.0,Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,4,0.00265,0.9063,0.0003940881763527054,0.00125345,0.18126,0.72239,0.0,0.0010024618236472947,0.0,Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.527,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,3,0.00021999999999999998,0.05005,0.0,0.00021999999999999998,0.01001,0.03982,0.0,0.0,0.0,Sperm whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52_1_Sea_of_Okhotsk_NE_(1980),SC,0.2,2,0.0002,0.1311,0.00013136272545090182,6.86e-05,0.02622,0.10468,0.0,3.727454909817742e-08,0.0,Toothed whales,0.0,0.0,0.0,0.0,0.0,0.657,2.710505431213761e-20,0.0,0.0,
